shop,health_facility:type,office,healthcare:speciality,indoor,payment:cash,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,addr:housenumber,name:de,source,location,building:roof:colour,fax,roof:colour,contact:postcode,emergency,ref:FR:SIREN,ref:FR:SIRET,historic,FID,addr:street,bmo:type,source:name,fixme,name:en,contact:fax,addr:city,wheelchair:description,payment:debit_cards,type:FR:FINESS,addr:postcode,roof:material,level,payment:credit_cards,roof:orientation,source:geometry:date,payment:mastercard,amenity_1,amenity_2,payment:american_express,wheelchair:step_height,source:addr,payment:maestro,operational_status,access,payment:cheque,ref,email,barrier,contact:email,name:br,roof:shape,building:use,wall,source:geometry,source:building,health_person:type,health_specialty:radiology,toilets:wheelchair,massage,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,alt_name,building:roof:shape,contact:country,operator,railway:historic,contact:city,short_name,area,opening_hours,contact:phone,addr:housename,name,whc:inscription_date,heritage,type,start_date,website,noname,contact:housenumber,source:date,phone,health_specialty:allergology,official_name,old_name,smoking,opening_hours:signed,room,source:version,disused:name,buildingpart,dispensing,ref:FR:NAF,wheelchair,amenity,operator:type,addr:unit,ref:whc,payment:notes,source:addr:version,medical_system:western,doctor,building:levels,note,name:fr,contact:street,description,building:material,note:fr,addr:full,payment:visa,lat,reservation,building,building:colour,payment:coins,roof:levels,addr:place,healthcare,disused:railway,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.2712688,,,,,,,,,,,,,,,,Dr RAMSAL,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,Conventionné secteur 1 Accepte la carte vitale,,,,,16.2534399,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9155809,,,,,,,,,,,,,,,,Dr Salaun et Kerdudo,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6694716,,yes,,,,,,,,,
,,,,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2371338,,,,,,,,,,,,,,,,Dr Terazzoni,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.6335530,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8445806,,,,,,,,,,,,,,,,Dr Vaudin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.4863040,,yes,,,,,,,,,
,,,paediatrics,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3515579,,,,,,,,,,,,,,,,Dr. Caroline Laffort,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3693059,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7126218,,,,,,,,,,,,,,,,Dr. Chavet,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2877634,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6667419,,,,,,,,,,,,,,,,Dr. Christian Mabat,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.1311128,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9101679,,,,,,,,,,,,,,,,Dr. Jacques Bernard,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6651906,,yes,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,Rue des Chabannes,,,,,,,,,,03190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6181859,,,,,,,,,,,,,,+3347060168,,Dr. Jean Letang,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.4244106,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,Grand'Rue,,,,,,Lemberg,,,,57620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3792360,,,,,,,,,,,,,,,,Dr. Larbi,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.0028090,,yes,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,Chemin du Penthod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,,,,,,4.8343732,,,,,,,,,,,,,Mo-Sa 14:00-18:00,,,"Dr. Magnarg, Médecine générale",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,1,,,,,,,,,45.7866928,,house,,,1,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6117520,,,,,,,,,,,,,,,,Dr. Scrève,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.4553060,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9441660,,,,,,,,,,,,,,,,Dr. Véronique Devermelle,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.3098790,,yes,,,,,,,,,
,,,,,,,,,,,Direction Générale des Finances Publiques - cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6125327,,,,,,,,,,,,,,,,Dr. Westerfeld,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.5570203,,yes,,,,,doctor,,,,
,,,,,,,,,2,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Lotissement du Parc,,,,,,Martres-Tolosane,,,,31220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0151431,,,,,,,,,,,,,,,,Drs Hippolyte et Arnal,,,,,,,,,+33 5 61 98 81 31,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1985296,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6335197,,,,,,,,,,,,,,,,Elisabeth Bonnin-van Oost,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.2647201,,yes,,,,,physiotherapist,,,,
,,,endocrinology,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4934626,,,,,,,,,,,,,,,,Endocrinologie et Maladies Métaboliques - Diabétologie,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-21.3451306,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8507060,,,,,Pôle Santé,,,,,,,,,,,Espace La Parra,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.6966470,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7599295,,,,,,,,,,,,,,,,Espace Médical Péri,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.1875558,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9304410,,,,,,,,,,,,,,,,Espace Médical de la Lande,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.6815780,,yes,,,,,,,,,
,,,,,,,,,,,Cadastre. Mise à jour : 2019;survey 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3739559,,,,,,,,,,,,,,,,Espace Médical des Thermes,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.8179797,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2161218,,,,,,,,,,,,,,,,Espace Médical du Rhôny,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.7441977,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0767289,,,,,,,,,,,,,,,,Espace Mérovée,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.1082115,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4410066,,,,,,,,Ville de Vincennes,,,,,,,,Espace Pierre-Souweine,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,"SAMI, vaccination, prévention, dépistage",,,,,48.8479913,,government,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3651286,,,,,,,,,,,,,,,,Espace Rabelais,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5634032,,yes,,,,,doctor,,,,
,,,radiology,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1689710,,,,,,,,,,,,,,,,Espace Radiologique,,,,,,,,,,,,,,,,,Ancienne gare de Charlieu,,,,,doctors,,,,,,,,,,,,,,,,,46.1604530,,yes,,,,,centre,station,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0987210,,,,,,,,,,,,,,,,Espace Santé,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.8694670,,yes,,,,,,,,,
,,,,,,,,,211,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour :2010,,,,,,,,,,,Rue de l'Eyrard,,,,,,Noyarey,,,,38360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6275430,,,,,,,,,,,,,,,,Espace Santé - Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,"Médecin généraliste, Cabinet infirmier, Ostéopathe, Kinésithérapeute.",,,,,,,,45.2502127,,yes,,,,,,,,,
,,,,,,,,,211,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour :2010,,,,,,,,,,,Rue de l'Eyrard,,,,,,Noyarey,,,,38360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6275008,,,,,,,,,,,,,,,,Espace Santé - Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,"Médecin généraliste, Cabinet infirmier, Ostéopathe, Kinésithérapeute.",,,,,,,,45.2504394,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6437780,,,,,,,,,,,,,,,,Espace Santé André Gleizes,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.5013690,,yes,,,,,,,,,
,health_center,,,,,,,,1bis,,,,,,,,yes,,,,,Rue Maurice Ravel,,,,,,Amiens,,,,80080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3027804,,,,,,,,,,,,,,,,Espace Santé Maurice Ravel,,,,,https://espacesanteravel.fr,,,,+33 3 22 09 34 34,,,,,,,,,,,,,doctors,,,,,,,,,,,,"SOS médecin, CHU Amiens-Picardie, dentaire, kinésithérapie,, infirmiers, famille et protection infantile, santé publique",,,,,49.9139913,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0954005,,,,,,,,,,,,,,,,Espace Santé des Grands Chênes,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.5996380,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9249363,http://www.beaucourt.com/espace-veil.htm,,,,,,,,,,,,,,,Espace Simone Veil,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.4863759,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1627868,,,,,,,,,,,,,,,,Espace médical Pasteur,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,1,,,,,,,,,44.3972822,,yes,,,,,,,,,
,,,,,,,,,360,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Cours René Char,,,,,,L'Isle-sur-la-Sorgue,,,,84800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0554093,,,,,,,,,,,,,,,espace médical,Espace médical du cours René Char,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,2,,,,,,,,,43.9160949,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1696033,,,,,,,,,,,,,,,,Estoublon Santé,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.9413755,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2670615,,,,26,,,,,,,,,,,,Europole,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,Centre d'imagerie médicale,,,,,43.7018132,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.4323263,,,,,,,,,,,,,,,,Foyer Hau Aroha,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-17.7702205,,,,,,,doctor,,,,
,,,general,,,,,,8,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue du Docteur Michel Deutsch,,,,,,Soultz-sous-Forêts,,,,67250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8841190,,,,,,,,,,,,,,,,Franck HARTWEG,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9349650,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9852630,,,,,,,,,,,,,,,,Gommeaux Philippe,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.6454630,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1390109,,,,,,,,,,,,,,,,Groupe Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.5816915,,yes,,,,,,,,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1718715,,,,,,,,,,,,,,,,Groupe Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.4970371,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8715969,,,,,,,,,,,,,,,,Groupe Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,42.9676789,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2618986,,,,,,,,,,,,,,,,Groupe Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,3,,,,,,,,,48.9885421,,yes,,,,,,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4339947,,,,,,,,,,,,,,,,Groupe Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.4188060,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1667081,,,,,,,,,,,,,,,,Groupe Médical d'Alleins,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.7045051,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0951943,,,,,,,,,,,,,,,,Groupe Médical de Soues,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.2085017,,yes,,,,,,,,,
,,,,,,,,,5,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue Berthe et Jules Noblet,,,,,,Châteauneuf-sur-Charente,,,,16120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0540170,,,,,,,,,,,,,,,,Groupe de soins infirmiers,,,,,,,,,0545662737,,,,,,,,,,,8690D,,doctors,,,,,,,,,,,,Prise de RDV non nécessaire,,,,,45.5998710,,yes,,,,,nurse,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1606865,,,,,,,,,,,,,,,,Groupe médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3634531,,yes,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,Rue de la Fabrique,,,,,,Vabre,,,,81330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4246597,,,,,,,,,,,,,,,,Groupe médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.6927872,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013 ; survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4269500,,,,,,,,,,,,,,,,Groupe médical Aussau,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1017600,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5274040,,,,,,,,,,,,,"Mo-Fr 08:00-12:30,13:30-19:30; Sa 08:00-12:00",,,Groupe médical Claude Bernard,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,1,,,,,,,,,44.8802370,,office,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0650703,,,,,,,,,,,,,,,,Groupe médical Gardiner,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6327074,,yes,,,,,centre,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1555630,,,,,,,,,,,,,,,,Groupe médical St Michel,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.5604600,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6110497,,,,,,,,,,,,,,+33 5 59390400,,Groupe médical Terce Dornon Sammarro et Lasfar,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1797590,,yes,,,,,doctor,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5450242,,,,,,,,,,,,,,,,Groupe médical de Lesquen,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.5867634,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0717989,,,,,,,,,,,,,,,,Groupe médical de la Grande Vallée,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.0165396,,yes,,,,,,,,,
,,,,,,,,,55,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue de la Meule,,,,,,La Boisse,,,,01120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0426230,,,,,,,,,,,,,,,,Groupe médical de la boisse,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,1,,,,,,,,,45.8465200,,yes,,,,,,,,,
,,,,,,,,,3,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Pasteur,,,,,,Ravine des Cabris,,,,97432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4698384,,,,,,,,,,,,,"08:00-12:00,14:00-17:00",,,Groupe médical rue Pasteur,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-21.2852429,,yes,,,,,,,,,
,,,,,,,,,,,"cadastre-dgi-fr, GPS, yahoo Imagery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3265303,,,,,,,,,,,,,,,,Généraliste,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-20.9825499,,yes,,,,,,,,,
,,,,,,,,,,,"cadastre-dgi-fr, GPS, yahoo Imagery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3266761,,,,,,,,,,,,,,,,Généraliste,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-20.9827309,,yes,,,,,,,,,
,,,,,,,,,56,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue de Montgaillard,,,,,,Saint-Denis,,,,97400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4651441,,,,,,,,,,,,,,,,HAD ARAR Soins à Domicile (Nord),,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-20.9015856,,yes,,,,,,,,,
,,,ophthalmology,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6408187,,,,,,,,,,,,,,,,Hélios,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3982911,,yes,,,,,doctor,,,,
,,,,,,,,,17,,,,,,,,,,,,,Chemin de Morcy,,,,,+33 4 50 83 22 28,Thonon-les-Bains,,,,74200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4611918,https://www.hopitauxduleman.fr/etablissements/hopital-de-jour-unite-de-lenfance/,,,,,,,Hôpitaux du Léman,,,,,,+33 4 50 83 22 20,,Hôpital de Jour - Unité de l'Enfance,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.3614492,,office,,,,,,,,,
,,,radiology,,,,,,,,,,,,,,,,,,,Avenue César Bernaudon,,,,,,Saint-Martin-de-Crau,,,,13310,,,,,,,,,,,,,,,,,contact@imsmc.fr,,,,,,,,,,,,,,4.8116597,,,,,,,,,,,,,"Mo-Fr 08:00-12:30,13:30-18:30; Sa 08:30-12:00",,,Imagerie Médicale,,,,,https://www.imsmc.fr/#,,,,+33 4 90 47 01 01,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.6389970,,yes,,,,,doctor,,,,
