shop,cameras,name:cy,building:part,indoor,addr:parentstreet,survey_date,payment:cash,postal_code,smoking,is_in,addr:housenumber,source:addr:housenumber,old:fhrs:id,ref:store,payment:debit_cards,office,addr:town,addr:state,pharmacy,source,ref:NPLG:UPRN:1,source:number,opening_hours:url,covered,addr:village,fhrs:local_authority_id,fax,survey:date,emergency,food,material,contact:facebook,disused:shop,building:roof:orientation,sponser,addr:hamlet,source:area,addr:terrace,wikimedia_commons,addr:street,source:postal_code,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,stroller,parking:disabled,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,floors,money_transfer,disused,internet_access,payment:mastercard,opening_hours:pharmacy,opening_hours:post_office,amenity_1,twitter,designation,roof:height,lawyer,medical_supply,payment:american_express,description,alcohol,not:addr:postcode,contact:email,wikipedia,addr:province,fhrs:rating,fhrs:authority,brand:wikidata,ref:cadw,check_date,leasing_number,ref,email,takeaway,phone2,recycling:batteries,fhrs:id,roof:shape,contact:twitter,old_amenity,addr:source,atm,source:geometry,addr:city,source:building,roof:direction,fhrs:name,source:listed_status,toilets:wheelchair,retail,opticians,comment,drive_through,source:location,ref:pol_id,lon,contact:website,roof:colour,layer,height,dispensing_hours,int_name,alt_name,building:roof:shape,operator,brand:wikipedia,previous_name,fixme:addr2,fixme:addr4,currency:GBP,area,opening_hours,contact:phone,addr:housename,old_fhrs:id,heritage,architect,dogs,website,addr:unit,source:height,listed_status,brand,addr:suburb,phone,old_name,source:outline,indoor:level,disused:fhrs:id,room,note:fsha,atm:fee,start_date,deaf:description:en,dispensing,landuse,source:amenity,roof:levels,amenity,addr:street:en,source:shape,parking,telephone,addr:floor,admin_name,wikidata,source:postcode,alt_shop,cuisine,verified,ref:gphc,fhrs:inspectiondate,building:levels,image,note,nhs,addr:locality,branch,FIXME,source:addr,building:material,addr:full,payment:visa,fhrs:localauthoritybusinessID,levels,building:architecture,addr:county,source:addr:postcode,lat,old_shop,building,building:colour,addr:district,store_ref,url,wheelchair,addr:place,branch:ref,historic,parking:access,healthcare,colour,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,14-16A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Lane,,,,,,Day Lewis Pharmacy,,,CH63 3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q62563772,,,,,,,,,546790,,,,,,,,,,,,,,,,,,,-3.0116847,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Lewis Pharmacy,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3457311,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Christopher Road,,,,,,Day Lewis Pharmacy,,,CO4 0NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colchester,,,,,,,,,,,,0.9301913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9029205,,shop,,,,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triangle Shopping Centre,,,,,,Day Lewis Pharmacy,,,CO13 0AU,,,,,,,,,,,,,,,,,,,,,,,,CO13 0LN,,,,,,,,,,,,,,,908290,,,,,,,Frinton-on-Sea,Bing,,,,,,,,,,,1.2494155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8439827,,shop,,,,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellflower Crescent,,,geometry estimated,,,Day Lewis Pharmacy,,,IP28 8XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4963758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,interpolation,,,,,,,,,52.3048610,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,Bing;photograph,,,,,,,,,,,,,,,,,,,,"Beadles Parade, Rainham Road South",,,,,,Day Lewis Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1660124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,pharmacy,,,,,,,,,,,,,,2,,,,,,,,brick,,,,,,,,51.5426268,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Lewis Pharmacy,,,RG7 1AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,,-0.9741262,,,,,,,Rankin Chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3922388,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Lewis Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4045485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8586592,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harwich Road,,,,,,Day Lewis Pharmacy,,,CO4 3HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colchester,Bing,,,,,,,,,,,0.9353710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8972985,,house,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Lewis Pharmacy,,,BS31 3DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205735,,,,,,,,,,,,,,,,,,,-2.4565908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4018103,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kentish Town Road,,,,,,Day Lewis Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q62563772,,,,,,,,,,,,,,,,London,,,,,,,,,,,,-0.1409131,,,,,,,,,,,,,,,,,,,,,,,,,,,Day Lewis Pharmacy,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5499895,,retail,,,,,,,,,,pharmacy,,,,
chemist,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portswood Road,,,,,,Day Lewis Pharmacy incorporating Fisk Chemists,,,SO17 2NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3920545,,,,,,,,,Day Lewis PLC,,,,,,,,,,,,,,https://www.daylewis.co.uk/,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9264554,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,Bing;survey,,,,,,,,,,,,,,,,,,,,Wilson Street,,,,,,Day Night Pharmacy,,,DE1 1PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,,,,,,,,-1.4791609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9190880,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,93,,,,,,,,,Bing;photographic_survey,,,,,,,,,,,,,,,,,,,,Macklin Street,,,,,,Day Night Pharmacy,,,DE1 1LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409398,,,,,,,Derby,,,,,,,,,,,,-1.4819297,,,,,,,Night and Day Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9209677,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,692-694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmaston Road,,,,,,Day-Night Pharmacy,,,DE24 8GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,,,,,,,,-1.4570722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8957627,,yes,,,,,,,,,,pharmacy,,,,
,,,retail,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Station Parade,,,,,,Daynight Pharmacy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barking,,,,,,,,,,,,0.0799103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5386032,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Street,,,,,,Dean & Smedley,,,DE11 9DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swadlincote@deanandsmedley.com,,,,727511,,,,,,,Swadlincote,,,,,,,,,no,,,-1.5574702,,,,,,,,,Dean & Smedley Ltd,,,,,,,Mo-Sa 09:00-17:00,,,,,,,https://www.deanandsmedley.com/stores/Swadlincote.php,,,,,,+44 1283217496,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7735204,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hollybrook Way,,,,,,Dean & Smedley Family Pharmacy,,,DE23 3TZ,,,,,,,,,,,,,,,,,,,,,,,,DE23 7TU,,,,,,,,,,,,,,,727610,,,,,,,Derby,,,,,,,,,,,,-1.5315324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8927202,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deane Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4650746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5673505,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Street,,,,,,Dears Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lochgelly,,,,,,,,,,,,-3.3100528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1282486,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delmergate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,1.1551907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3702195,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,40,,,,,,,,,convert node & FHRS,,,,,Denholme,,,,,,,,,,,,,,,Main Road,,,,,,Denholme Pharmacy,,,BD13 4BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradford,,,,,,,,,,,,-1.8947867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8020162,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4311281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,All floors ,,,,,,,,,,,,,,53.2356405,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Derby St Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1715376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0220199,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,26A,,,,,,,,,OS_OpenData_StreetView;survey;deleted node 504495539,,,,,,,,,,,,,,,,,,,,North Street,,,,,,Derwent Pharmacy,,,DE1 3AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,,,,,,,,-1.4791871,,,,,,,,,BJ Wilson Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9293502,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direct Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5859542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2379335,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,53,,,,,,,,,,,,,,,4447,,,,,,,,,,,,,,Chamberlayne Road,,,,,,Dollmead Pharmacy,,,NW10 3ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533108,flat,,,,,,London,,,Dollmeads Pharmacy,,,,,,,,,-0.2182122,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,2,,,,,,,,brick,,,,,,,FHRS Open Data,51.5331374,,yes,brown,,,,yes,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Townhead Road,,,,,,Dore Pharmacy,,,S17 3GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5404812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3264393,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,Dorridge Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7530838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3731735,,retail,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King Street,,,,,,Drighlington Pharmacy,,,BD11 1EJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradford,,,,,,,,,,,,-1.6560085,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drighlington,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7540758,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,visual survey;OS_OpenData_StreetView,,,,,,,,,,,,,,,,,,,,,,,,,,Droitwich Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1534952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2668722,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Dudley Taylor Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2739827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0374373,,shop,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dukes Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1418005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5914817,,yes,,,,,,,,,,,,,,
chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper Richmond Road West,,,,,,Dumlers Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2732088,,,,,,,,,,,,,,,,Mo-Fr 9:00-18:00; Sa 9:00-14:00,,,,,,,,,,,,,+44 20 8876 4603,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,51.4640115,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9630146,,,,,,,,,Dundee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6737849,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durham Lane,,,,,,Eaglecliffe Pharmacy,,,TS16 0EH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egglescliffe,,,,,,,,,no,,,-1.3586994,,,,,,,,,,,,,,,,,,Orchard Mews,,,,,,18,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5201280,,yes,,,,,,,,,,pharmacy,,GB,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6713877,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:30; Sa 09:00-13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6092251,,,,,,,,,,,,,,,,
,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmondthorpe Lane,,,,,,East Leeds Pharmacy,,,LS9 9EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds,,,,,,,,,,,,-1.4986615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7983697,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,144,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,Walford Road,,,,,,Eastchem Pharmacy,,,B11 1QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,-1.8648172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4597579,,residential,,,,,,,,,,,,,,
,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stapleton Road,,,,,,Easton Chemist,,,BS5 0NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,,,,,,,,-2.5705292,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easton,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,51.4640614,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stapleton Road,,,,,,Easton Pharmacy,,,BS5 0PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,,,,,,,,-2.5731667,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easton,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,51.4617298,,yes,,,,,limited,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastville Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5636157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4702107,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,Edmunds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0757170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5477950,,retail,,,,,,,,,,,,,,
chemist,,,retail,,,,,,,,491,,,,,,,,,,,,,,,2845,,,,,,,,,,,,,,Staines Road,,,,,,Edwards & Taylor,,0,TW14 8BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490500,,,,,,,Feltham,,,,,,,,,,,,-0.4285951,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedfont,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4534762,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellacombe Road,,,,,,Ellacombe Pharmacy,,,BS30 9BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42001,,,,,,,,,,,,,,,,,,,-2.4948011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4365217,,retail,,,,,,Longwell Green,,,,,,,,
,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huddersfield Road,,,,,,Elland Pharmacy,,,HX5 9DW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117872,,,,,615670,,,,,,,Elland,,,,,,,,,no,,,-1.8364998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 1422 373634,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6863969,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Elms Pharmacy,,,EN6 5DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potters Bar,,,,,,,,,,,,-0.1744194,,,,,,,,,,,,,,,,,,The Elms,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6983523,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elstead Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6986958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1839941,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapel Market,,,,,,Endo Chemist,,,N1 9ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1087366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5334243,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,survey; Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Erdington Chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8413349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5228947,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,169,,,,,,,,,photograph,,,,,,,,,,,,,,,,,,,,Drury Lane,,,,,,Essentials,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,,,,,,,,-0.1230169,,,,,,,,,,,,,,,,,,,,,,,https://www.essentialslondon.com/,,,,,,+44 20 7404 8808,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5153290,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queen Elizabeth Way,,,,,,Evans Pharmacy,,,DE7 4NU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251953,,,,,,,,,,,,,,,,,,,-1.3211819,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirk Hallam,,Manor Pharmacy,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,Food hygiene open data,,,,,,,,,52.9582423,,yes,,,,,,,,,,,,,,
