shop,office,healthcare:speciality,building:part,clinic,addr:housenumber,addr:state,name:de,source,opening_hours:url,image,fax,survey:date,short_name,fixme,historic,name:uk,tourism,addr:street,contact:facebook,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,source:user,WroclawGIS:building:ID,ewmapa:warstwa,full_name,building:usage:pl,description,wikipedia,mapillary,addr:street:sym_ul,ref,email,highway,WroclawGIS:building:ringIndex,barrier,contact:email,addr:source,addr:city:simc,roof:shape,source:geometry,addr:city,building:use:pl,source_ref,building:type:pl,lon,contact:website,roof:colour,height,lat,alt_name,operator,area,opening_hours,contact:phone,addr:housename,building:parts,heritage,start_date,website,addr:subdistrict,phone,official_name,emuia:id,dispensing,landuse,source:amenity,amenity,operator:type,WroclawGIS:building:date,wikidata,source_ref:3D,emergency,addr:district,building:levels,note,building:fireproof,source:addr,building:material,addr:county,building,building:colour,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,28,,,,,,,,,,,Недержавний медичний центр Intermed,,Niepodległości,,,Niepubliczny Zakład Opieki Zdrowotnej Intermed,,,74-100,,,,,,,,,,,,,gryfino@nzozintermed.pl,,,,,,,,,Gryfino,,,,14.4906494,,,,53.2547439,,,,,,,,,,http://www.nzozintermed.pl/index.php/placowki/przychodnia-gryfino.html,,+48-91-4162041,,,,,,clinic,,,,,,,3,,,gryfino.e-mapa.net,,,healthcare,,,,,,,,
,,,,,2,,,,,,,,,,,,,Generała Józefa Bema,,,Niepubliczny Zakład Opieki Zdrowotnej KAMEN Poradnia Medycyny Pracy,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1495429,,,,53.1263297,,,,,,,,,,,,,,,,,,clinic,,,,,,,4,,,,,,yes,,,,,,,,
,,,,,5,,,,,,,,,,,,,Wojska Polskiego,,,Niepubliczny Zakład Opieki Zdrowotnej MEDYK,,,83-110,,,,,,,,,,,,,,,,,,,,,,Tczew,,,,18.7899644,,,,54.0858876,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,public,260,,,http://szukaj.sluzbazdrowia.pl/Niepubliczny-zaklad-opieki-zdrowotnej-piomar/Wielopole-skrzynskie/Ul-260/z10276.html,,,,,,,,,,,,,Niepubliczny Zakład Opieki Zdrowotnej PIOMAR,,,39-110,,,,,,,,,,,,,,,,,,,,,,,,,,21.6113015,,,,49.9446372,,,,,,,,,,,,+48172214816,,,,,,clinic,,,,,,,,,,,,,yes,,,,Wielopole Skrzyńskie,,,,
,,,,,,,,,,,,,,,,,,Andrzeja Struga,,,Niepubliczny Zakład Opieki Zdrowotnej Poradnia Medycyny Rodzinnej - Śródmieście 3,,,,,,,,,,,,,,,,kontakt@nzoz-srodmiescie3.pl,,,fence,,,,,,,,,,21.1639923,,,,51.4071615,,,,,,,,,,http://nzoz-srodmiescie3.pl/,,48 36 406 77,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,,Bing,,,,,,,,,,Ludowa,,,"Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ""Med-Mydlice"" s. c.",,,41-300,,,,,,,,,,,,,,,,,,,,,,Dąbrowa Górnicza,,,,19.1672906,,,,50.3155097,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,254/258,,,,,,,,,,,,,Szosa Chełmińska,,,"Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska ""WRZOSY""",,,87-100,,,,,,,,,,,,,,,,,,,,,,Toruń,,,,18.5779139,http://www.nzozwrzosy.pl/,,,53.0469880,,,,Mo-Fr 7:40-17:30,+48 (56) 6511609,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,327,,,,,,,,NZOZ Stadmedica,,,,,Nakielska,,,Niepubliczny Zakład Opieki Zdrowotnej Stadmedica,,,85-391,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,17.9142407,,,,53.1339820,,,,,,,,,,http://www.stadmedica.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,NZOZ św. Pawła,,,,,,,,Niepubliczny Zakład Opieki Zdrowotnej św. Pawła,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9448892,,,,50.3085287,,,,"Mo-Fr 07:00-19:00; Sa[1],Sa[3] 08:00-13:00; PH off",+48 32 24 96 216;+48 32 34 81 216,,,,,http://nzoz-medycynapracy.pl,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Niepubliczny Zakład Opiekuńczo-Leczniczy dla Przewlekle Chorych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1595408,,,,51.3957351,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,15,,,,,,,,,,,,,,,,"Niepubliczny Zakład Pielęgnacyjno Opiekuńczy ""Podlasie""",,,18-218,,,,,,,,,,,,,,,,,,,0405702,,,,,,,22.7525735,,,,52.9516548,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,sokoly.e-mapa.net,,,hospital,,,,Dworaki-Staśki,,,,
,,,,,1,,,,,,,,,,,,,Krótka,,,Niepubliczny Zakład Podstawowej Opieki Zdrowotnej w Sulmierzycach,,,63-750,,,,,,,,,,,,,3000738@zoz.org.pl,,,,,,,,,Sulmierzyce,,,,17.5394179,,,,51.6054676,,,,,,,,,,,,627223117,,,,,,clinic,,,,,,,,,,msulmierzyce.e-mapa.net,,,yes,,,,,,,,
,,,,,29,,,,,,,,,,,,,Osiedle Ogrody,,,"Niepubliczny Zespół Opieki Zdrowotnej ""Rodzina""",,,27-400,,,,,,,,,,,,,,,,,,,,,,Ostrowiec Świętokrzyski,,,,21.3982194,,,,50.9445591,,,,,,,,,,,,+48 41 266 38 36,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,Juliusza Słowackiego,,,NoMag - Med,,,49-330,,,,,,,,,,,,,,,,,,,,,,Łosiów,,,,17.5674191,,,,50.7914873,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,7,,,,,,,,,,,,,Kłosowa,,,Nova,,,,,,,,,,,,,,,,,,,,,,,,,Kędzierzyn-Koźle,,,,18.1628452,,,,50.3509798,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Novena Clinica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4558436,,,,51.1466156,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,25a/4,,,e.czestochowa.pl,,,,,,,,,,Bohaterów Katynia,,,NovoMed,,,42-208,,,,,,,,,,,,,,,,,,,,,geoportal.gov.pl:ortofoto,Częstochowa,,,,19.1511348,,,,50.7728841,,,,,,,,,,http://www.novomed.pl/,,+48 34 366 3190,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,82,,,,,,,,,,,,,Uzdrowiskowa,,,OKOmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9805729,,,,49.9365866,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,1,,,,,,,,,,,,,Słoneczna,,,OMP Lubin,,,59-300,,,,,,,,,,,,,,,,,,,,,,Lubin,,,,16.2030295,,,,51.4015592,,,,,,,,,,http://www.omplubin.pl/przychodnia.html,,,,,,,,clinic,,,,,,,,,,"EMUiA (emuia.gugik,gov.pl)",,,yes,,,,,,,,
,,,,,50,,,,,,,,,,,,,Sokola,,,Obwód Lecznictwa Kolejowego SP ZOZ w Skarżysku-Kamiennej,,,26-110,,,,,,,,,,,,,,,,,,,,,,Skarżysko-Kamienna,,,,20.8781205,,,,51.1262609,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,gynaecology,,,,,,,,,,,,,,,,Krakowska,,,Oddział Położniczo-Ginekologiczny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4208629,,,,49.9667460,,,,,,,,,,,,,,,,,,clinic,,,,,no,,,,,,,,hospital,,,,,,clinic,,
,,laryngology,,,,,,,,,,,,,,,,,,,Odział Laryngologii,,,96-100,,,,,,,,,,,,,,,,,,,0976942,,,Skierniewice,,,,20.1511956,,,,51.9626755,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Odział Ortopedii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1519105,,,,51.9631026,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,physiatry,,,,,,,,,,,,,,,,,,,Odział Rechabilitacji,,,96-100,,,,,,,,,,,,,,,,,,,0976942,,,Skierniewice,,,,20.1511511,,,,51.9630587,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Medyczny Zdrowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9266595,,,,50.0194165,,,,,,,,,,,,,,,,,,clinic,,,,,,,4,,,,,,health,,,,,,,,
,,,,,109,,,,,,,,,,,,,Osiedle Jana III Sobieskiego,,,"Ośrodek Rehabilitacji Dzieci ""ZAWSZE RAZEM""",,,60-688,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,16.9102385,,,,52.4626054,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,EMUiA (emuia.geoportal.gov.pl),,,yes,,,,,,,,
,,,,,27,,,gis.um.szczecin.pl,,,,,,,,,,Strzałowska,,,Ośrodek Rehabilitacji Psychospołecznej i Medycznej Osób Niepełnosprawnych z Poradnią Medycyny Paliatywnej,,,,,,,,,,Inny niemieszkalny lub podziemny,,,,,,,,,,,,,,,,,,,14.5912115,,,,53.4672343,,Zachodniopomorskie Centrum Onkologii,,,,,,,,https://onkologia.szczecin.pl/struktura-zco/osrodek-rehabilitacji-psychospolecznej-i-medycznej-osob-niepelnosprawnych-poradnia-medycyny-paliatywnej-i-hospicjum-domowe/,,+48-91-425-1564,,,,,,clinic,,,,,,,1.5,,,,,,service,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Rehabilitacyjno - Edukacyjno - Wychowawczy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4726725,,,,50.8493816,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,no,,,,,,clinic,,
,,,,,7,,,WMS UM Chorzów,,,,,,,,,,Czysta,,,Ośrodek Rehabilitacyjno – Edukacyjno – Wychowawczy,,,41-500,,,,,,,,,,,,,,,,,,,,,,Chorzów,,,,18.9473449,,,,50.2851552,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,rehabilitation,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,59-305,,,,,,,,,,,,,,,,,,,,,,Rudna,,,,16.2591100,,,,51.5108856,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,31,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,87-134,,,,,,,,,,,,,,,,,,,,,,Zławieś Wielka,,,,18.3303215,,,,53.0949580,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,545,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,34-642,,,,,,,,,,,,,,,,,,,0423172,,,,,,,20.2480231,,,,49.7160533,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,Dobra,,,,
,,,,,363,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,38-100,,,,,,,,,,,,,,,,,,,,,,,,,,21.8198388,,,,49.8407448,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,Godowa,,,,
,,,,,40,,,,,,,,,,,,,Władysława Sikorskiego,,,Ośrodek Zdrowia,,,59-940,,,,,,,,,,,,,,,,,,,,,,Węgliniec,,,,15.2191937,,,,51.2887898,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,Podhalańska,,,Ośrodek Zdrowia,,,34-471,,,,,,,,,,,,,,,,,,,,,,Ludźmierz,,,,19.9793226,,,,49.4634025,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,12,,,,,,,,,,,,,Partyzantów,,,Ośrodek Zdrowia,,,21-110,,,,,,,,,,,,,,,,,,,,,,Ostrów Lubelski,,,,22.8544342,,,,51.4952939,,,,08:00-16:00,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5235443,,,,51.9725985,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,42,,,,,,,,,,,,,Księdza Jerzego Popiełuszki,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,20.0410818,,,,50.0152767,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5699403,,,,51.0139847,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0574748,,,,51.1375814,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,283,,,,,,,,,,,,,,,,Ośrodek Zdrowia,,,32-853,,,,,,,,,,,,,,,,,,,0819148,,,,,,,20.7363098,,,,49.9346887,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,debnobrzeskie.e-mapa.net,,,yes,,,,Łysa Góra,,,,
,,,,,14,,,,,,,,,,,,,Aleja Jana Pawła II,,,"Ośrodek Zdrowia "" Rodzina """,,,14-200,,,,,,,,,,,33262,,,,,,,,0964650,,,Iława,,,,19.5739966,,,,53.5996630,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,9,,,,,,,,,,,,,3 Maja,,,Ośrodek Zdrowia Bralin,,,63-640,,,,,,,,,,,,,,,,,,,,,,Bralin,,,,17.8998165,,,,51.2860228,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,bralin.e-mapa.net,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Bierwcach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1706879,,,,51.5641716,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,27,,,,,,,,,,,,,Zacisze,,,Ośrodek Zdrowia w Kornowacu,,,44-285,,,,,,,,,,,25314,,,,,,,,0216349,,,Kornowac,,,,18.3152542,,,,50.0759878,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,emuia.gugik.gov.pl,,,yes,,,,,,,,
,,,,,4,,,UG Lesznowola,,,,,,,,,,Józefa Górskiego,,,Ośrodek Zdrowia w Mrokowie,,,05-552,,,,,,,,,,,,,,,,,,,,,,Mroków,,,,20.8584977,,,,52.0388983,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,260,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Paszowicach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1663912,,,,51.0192484,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,paszowice.e-mapa.net,,,yes,,,,Paszowice,,,,
,,,,,2,,,,,,,,,,,,,Żagańska,,,Ośrodek Zdrowia w Ruszowie,,,59-950,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl,GPS",Ruszów,,,,15.1812486,,,,51.3998255,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,16,,Gesundheitszentrum,Starostwo Powiatowe w Gorzowie Wlkp.,,,,,,,,,,Niepodległości,,,Ośrodek Zdrowia w Różankach,,,66-416,,,,,,,i2,,,,14203,,,,,,,,0181881,,,Różanki,,,,15.3247777,,,,52.7944939,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,klodawa.e-mapa.net,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Ośrodek Zdrowia w Strykowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5985300,,,,51.9011969,,,,Mo-Fr 07:00-18:00; Sa 08:00-12:00,+42 717 4515,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,210,,,,,,,,,,,,,,,,Ośrodek zdrowia,,,37-100,,,,,,,,,,,,,,,,,,,0647227,,,,,,,22.2328388,,,,50.1183377,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,czarnalancucka.e-mapa.net,,,yes,,,,Dąbrówki,,,,
,,,,,30B,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,Opolska,,,Ośrodek zdrowia Medyk,,,49-100,,,,,,,,,,,,,,,,,,,,,,Niemodlin,,,,17.6313194,,,,50.6412976,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,residential,,,,,,clinic,,
,,,,,46/48,,,,,,,,,,,,,Ludwika Narbutta,,,PODOS Klinika Leczenia Ran,,,02-541,,,,,,,,,,,13995,,,,,,,,0918123,,,Warszawa,,,,21.0109528,,,,52.2060163,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,clinic,,
,,,,,28,,,,,,,,,,,,,Stefana Batorego,,,Panaceum,,,43-200,,,,,,,,,,,,,,,,,,,,,,Pszczyna,,,,18.9478513,,,,49.9745028,,,,,,,,,,,,32 212 86 66,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,4,,,,,,,,,,,,,Transportowa,,,Podlaskie Centrum Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1236148,,,,53.1130168,,JARD,,,,,,,,http://www.pcm.jard.pl/,,+48 85 742 28 08,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Pogotowie Ratunkowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0115285,,,,49.9124944,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,23,,,,,,,,,,,,,Wschodnia,,,Pogotowie Ratunkowe,,,28-200,,,,,,,,,,,,,,,,,,,,,,Staszów,,,,21.1725302,,,,50.5659129,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,yes,,,,,,clinic,,
,,,,,19,,,,,,,,,,,,,Ludwika Zamenhofa,,,Poliklinika Ginekologiczno-Położnicza Arciszewscy,,,15-435,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1595026,,,,53.1343674,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,PL,
,,,,,1,,,,,,,,,,,,,Startowa,,,Polmed,,,80-461,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,18.5979955,,,,54.3932480,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,Urząd Miasta Gdańsk,,,yes,,,,,,,PL,
,,,,,1a,,,Bing,,,,,,,,,,Dębowa,,,Poradnia Chirurgii Stomatologicznej,,,80-208,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,18.6302540,,,,54.3626209,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,Urząd Miasta Gdańsk,,,yes,,,,,,clinic,PL,
,,,,,9,,,,,,,,,,,,,Srebrniki,,,Poradnia Profilaktyki i Terapii Uzależnień,,,80-282,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,18.5779797,,,,54.3757675,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,13,,,,,,,,,,,,,Jagiellońska,,,Poradnia urologiczna PROSTA-LITH,,,25-613,,,,,,,,,,,,,,,,,,,,,,Kielce,,,,20.6153014,,,,50.8818612,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,clinic,,,,,,,,,,UM Kielce,,,yes,,,,,,clinic,,
,,,,,15A,,,,,,,,,,,,,Jerzego Waszyngtona,,,Poradnie USK,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1571296,,,,53.1243393,,,,"Mo,We-Fr 08:00-15:00; Tu 08:00-18:00",,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,86,,,,,,,,,,,,,Księdza Marcina Załuskiego,,,Promed,,,05-230,,,,,,,,,,,25522,,,,,,,,0920539,,,Kobyłka,,,,21.2126745,,,,52.3415748,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,kobylka.e-mapa.net,,,yes,,,,,,,,
,,,,,63,,,,,,,,,,,,,Bierutowska,,,Provita,,,51-317,,,,,,,,,,,01316,,,,,,,,,,,Wrocław,,,,17.1297144,,,,51.1517002,,,,,,,,,,http://www.provita.wroclaw.pl/,,,"Specjalistyczny Zakład Profilaktyczno-Leczniczy ""Provita""",,,,,clinic,,,,,,,,,,WroclawGIS,,,,,,,,,,,
,,,,,1,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,Józefa Pankiewicza,,,Prywatna Klinika,,,46-020,,,,,,,,,,,,,,,,,,,,,,Opole,,,,17.9032654,,,,50.7198472,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,Modrzewiowa,,,Prywatna Klinika Okulistyczna OFTALMIKA,,,,,,,,,,,,,,,,,,,fence,,,,,,Bydgoszcz,,,,18.0284630,,,,53.1445314,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,11,,,UG Jerzmanowa,,,,,,,,,,Obiszowska,,,Przychodnia,,,67-222,,,,,,,,,,,,,,,,,,,,,,Jerzmanowa,,,,16.0491668,,,,51.5945058,,,,,,,,,,,,,,,,,,clinic,,,,,no,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Przychodnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1947866,,,,54.1931696,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Przychodnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7092552,,#696969,,51.2656538,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,36,,,,,,,,,,,,,Radomska,,,Przychodnia,,,31-411,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,19.9601745,,,,50.0832977,,,,,,,,,,,Olsza II,,,,,,,clinic,,,,,,Prądnik Czerwony,,,,,,,yes,,,,,,clinic,PL,
,,,,,1,,,,,,,,,,,,,Zofii Nałkowskiej,,,Przychodnia,,,32-300,,,,,,,,,,,13967,,,,,,,,0941777,,,Olkusz,,,,19.5697494,,,,50.2649962,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,,,,,
,,,,,3,,,Bing,,,,,,,,,,Wojciecha Korfantego,,,Przychodnia,,,41-605,,,,,,,,,,,,,,,,,,,,,,Świętochłowice,,,,18.9126114,,,,50.3014129,,,,,,,,,,,,,,,,,,clinic,,,,,no,,,,,UM Świętochłowice,,,yes,,,,,,,,
,,,,,24,,,,,,,,,,,,,Kronikarza Galla,,,Przychodnia,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,19.9137370,,,,50.0719324,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,commercial,,,,,,,PL,
,,,,,76B,,,,,,,,,,,,,Jagiellońska,,,"Przychodnia ""ISKRA""",,,25-734,,,,,,,,,,,,,,,,,,,,,,Kielce,,,,20.6020974,,,,50.8688357,,,,Mo-Fr 07:00-17:00,,,,,,http://www.nzozpatron.pl/index.php/iskraprzychodnia,,+48 41 345 66 08,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,69,,,,,,,,,,,,,Łochowska,,,"Przychodnia ""Przy Belmie""",,,85-372,,,,,,,,,,,,,,,,,,,,,,Białe Błota,,,,17.8972667,,,,53.1235183,,,,,,,,,,http://www.przybelmie.pl,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,43,,,,,,,,,,,,,Osiedle Słoneczne,,,Przychodnia (Niepubliczny Zakład Opieki Zdrowotnej Rodzina w Ostrowcu Świętokrzyskim),,,27-400,,,,,,,,,,,,,,,,,,,,,,Ostrowiec Świętokrzyski,,,,21.3892678,,,,50.9462327,,,,,,,,,,,,+48 41 265 36 29,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,4,,,photograph,,,+48 74 856 84 50,,,,building,,,Marii Konopnickiej,,,Przychodnia Ars Medica,,,58-100,,A/4791/1313/WŁ,,,,,,,,,,,ars-medica@wp.p,,,,,,,,geoportal.gov.pl. GPS,Świdnica,,https://www.flickr.com/photos/124589265@N07/14067569657,,16.4855754,,,,50.8445392,,,,,,,,2,,http://ars-medica.org.pl,,+48 74 852 03 67,,,,,,clinic,,,,https://www.flickr.com/photos/124589265@N07/14067497368,,,,,,,,,yes,,,,,,,,nid
,,,,,,,,,,,,,,,,,,,,,Przychodnia CEntrum Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4183441,,,,50.4445188,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,37,,,,,,,,,,,,,Wolska,,,Przychodnia Chorób Zakaźnych,,,01-201,,,,,,,,,,,24694,,,,,,,,0918123,,,Warszawa,,,,20.9718268,,,,52.2342998,,NFZ,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,64a,,,,,,,,,,,,,Bolesława Chrobrego,,,Przychodnia Ewa-Med,,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Oława,,,,17.3031891,,,,50.9455657,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,6,,,,,,,,,,,,,Fabryczna,,,Przychodnia FŁT - Kraśnik S. A.,,,23-204,,,,,,,,,,,,,,,,,,,,,,Kraśnik,,,,22.1771073,,,,50.9653088,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,59,,,UM Ruda Śląska,,,,,,,,,,Kłodnicka,,,Przychodnia Halemba,,,41-706,,,,,"Przyziemie budynku ognioodpornego, podpory, podcienia z pomiaru w terenie",,,,,,,,,,,,,,,,,Ruda Śląska,"Szpital lub zakład opieki medycznej, socjalnej",,"Blok budynku, wiata, przejazd pod budynkiem",18.8536569,,,,50.2401966,,,,,,,,,,,,,,,,,,clinic,,,,,,,4,,yes,,,,yes,,,,,,,,
,,,,,30,,,,,,,,,,,,,Warszawska,,,Przychodnia Hipokrates,,,55-200,,,,,,,,,,,,,,,,,,,,,geoportal.gov.pl.GPS,Oława,,,,17.2873455,,,,50.9521409,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,molawa.e-mapa.net,,,yes,,,,,,,,
