health_facility:type,shop,office,healthcare:speciality,building:part,description:de,social_facility,building:type,addr:housenumber,toilets,fenced,addr:state,ele,source,image,fax,survey:date,name_alt,emergency,fixme,leisure,historic,ref:gdke,wikimedia_commons,addr:street,contact:facebook,name:en,contact:fax,name,wheelchair:description,addr:postcode,roof:material,ref:bldam,internet_access:fee,roof:orientation,registration_hours,disused,internet_access,health_specialty:psychiatry,designation,roof:height,provided_for:adolescent,loc_name,building:name,source:addr,capacity,wikipedia,language:others,access,check_date,ref,email,highway,building:height,barrier,contact:email,roof:shape,building:use,health_specialty:psychotherapy,health_specialty:psychiatrics,source:geometry,addr:city,roof:direction,language:de,health_person:type,toilets:wheelchair,provided_for:child,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,construction_date,operator,short_name,service,area,opening_hours,contact:phone,addr:housename,vehicle,start_date,website,heritage:description:de,health_specialty:rheumatology,heritage,telephone,source:date,phone,old_name,smoking,opening_hours:signed,note_de,source:url,landuse,wheelchair,contact:mail,amenity,operator:type,addr:hamlet,addr:suburb,official_name,building:min_level,wikidata,social_facility:for,health_specialty:cardiology,medical_system:western,addr:district,building:levels,note,kvl_hro:type,old_amenity,description,TMC:cid_58:tabcd_1:LocationCode,building:material,healthcare,fence_type,kvl_hro:amenity,health_specialty:orthopaedics,lat,addr:subdistrict,building,building:colour,url,roof:levels,addr:place,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:Class,year_of_construction,healthcare:for,addr:country,heritage:operator,operator:wikidata
,,,,,,,,2,,,,,,,,,,,,,,,,Westerstraße,,,,Gesundheitszentrum am Josef-Hospital Delmenhorst,,27749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delmenhorst,,,,,,8.6298319,,,,,,,,,,,,,,,,,,,,,,,,St. Josef-Stift,,,,,,,,clinic,,,,,,,,,,,3,,,,,,,clinic,,,,53.0515035,,yes,,,,,,,,,DE,,
,,,,,,,,1,,,,,,,,,,,,,,,,Warener Straße,,,,Gesundheitszentrum am ukb,,12683,,,,,,,,,,,,,,,,,,,,,,,,,info­@gesundheitszentrum-ukb.de,,,,,,Berlin,,,,,,13.5645864,,,,,,,,,,,,,+49 30 20181510 0,,,,https://www.gesundheitszentrum-ukb.de/,,,,,,,,,,,,,,,clinic,,,Biesdorf,,,,,,,,6,,,,,,,,,,,52.5190810,,civic,,,,,,,,,DE,,
,,,,,,,,221,,,,,,,,,,,,,manor,,,Urfelder Straße,,,,Gezeiten Haus Schloss Eichholz,,50389,,,,,,,,,,,,,,,,de:Schloss Eichholz,,,,,info@gezeitenhaus.de,,,,,,,,,,Wesseling,,,,,,6.9882523,,,,,,,,Gezeiten Haus GmbH,,,,,,,,,https://gezeitenhaus.de/gezeiten-haus-schloss-eichholz.html,,,,,,+49 2236 707-0,,,,,,,limited,,clinic,,,,,,,,,,,,,,,Privates Fachkrankenhaus für Psychosomatische Medizin und Traditionelle Chinesische Medizin (TCM),,,,,,,50.8014287,,yes,,,,,,,,,DE,,
,,,,,,,,55,,,,,,,,,,,,,,,,Venner Straße,,,,Gezeitenhaus Klinikum AG,,53177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonn,,,,,,7.1311574,,,,,,,,,,,,,,,,,https://www.gezeitenhaus.de/,,,,,,,Karl-Arnold-Bildungsstätte,,,,,residential,,,clinic,,,,,,,,,,,,,,,Bis 2002 CDU Bildungsstätte für NRW,,,,,,,50.6799412,,,,,,,,,,,DE,,
,,,,,,,,34a,,,,,Yahoo,,,,,,,,,,,Martha-von-Opel-Weg,,,,Gräfin-Heininger-Haus,,65307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Schwalbach,,,,,,8.0608516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Schwalbach,,,,,,,,,,,,,,,,,,,50.1358304,,hospital,,,,,,,,,DE,,
,,,,,,,,1 + 3,,,,,,,,,,no,,,,,,Ebereschenstraße,,,,Gräfliche Kliniken - Ambulantes Reha Zentrum,,07747,,,,,,,,,,,,,,,,,,,,,info@arz-jena.de,,,,,,,,,,Jena,,,,,,11.6178835,http://www.arz-jena.de/,,,,,,,,,,,"Mo-Th 07:00-20:00, Fr 07:00-18:00",+49 3641 482 40,,,,https://www.arz-jena.de/,,,,,,+49 3641 - 48 24 0,,,,,,,yes,,clinic,,,,,,,,,,,,,,,Neurologische und orthopädische Rehabilitation Praxis für Ergotherapie Praxis für Logopädie Praxis für Physiotherapie,,,clinic,,,,50.8847650,,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gusanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4099953,,,,,,,,,,,,,,,,,https://www.gusanum-schwerin.de/,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,centre,,,,53.6303069,,yes,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,Hagenmoos,,,,Günztalklinik Allgäu,,87634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obergünzburg,,,,,,10.4076746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,47.8471281,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,no,,,,,,,,,,Haftkrankenhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4276806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.2873685,,yes,,,,,,,,,,,
,,,otolaryngology,,,,,5,,,,,,,,,,,,,,,File:Tübingen-Eingang-HNO-Klinik.jpg,Elfriede-Aulhorn-Straße,,,,Hals-Nasen-Ohren-Klinik,,72076,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,Tübingen,,,,,,9.0358174,,,,,,,,Universitätsklinikum Tübingen,,,,Mo-Th 08:00-16:00; Fr 08:00-13:00 ||rund um die Uhr in Notfällen,,,,2002,https://www.medizin.uni-tuebingen.de/de/Presse_Aktuell/Einrichtungen+A+bis+Z/Kliniken/hals__+nasen_+und+ohrenheilkunde-port-10011-p-795.html,,,,,,+49 7071 29-88044,,,,,,,yes,,clinic,,,,,,Q1373617,,,,,,,,,,,,clinic,,,,48.5318400,,hospital,,,,,,,,,DE,,
,,,dentistry;centre;clinic,,,,,30-32,,,,,,,,,,,,,,,,Schulstraße,,,,Haranni-Clinic,,44623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herne,,,,,,7.2258990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.5403240,,yes,,,,,,,,,,,
,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,Haus der Gesundheit Tagesklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1945376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.9941966,,,,,,,,,,,,,
,,,dermatology,,,,,25,,,,,,,,,,,,,,,,Liebermeisterstraße,,,,Hautklinik,,72076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tübingen,,,,,,9.0529310,,,,,,,,,,,,24/7,,,,,http://www.hautklinik-tuebingen.de,,,,,,+49 7071 29-84555,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.5259875,,,,,,,,,,,,,
,,,dermatology,,,,,B9,,,,,,,,,,,,,,,,Heinrich-Meibom-Straße,,,,"Hautklinik Haus ""B9""",,23562,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Lübeck,,,,,,10.7056656,,grey,,,,,,Universität zu Lübeck,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,clinic,,,,53.8369823,,yes,,,,,,,,,,,
,,,,,,,,191,,,,,,,,,,no,,,,,,Gatower Straße,,,,Havelklinik,,13595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin,,,,,,13.1802756,,,,,,,,Privatklinik Spandau PKS GmbH,,,,,,,,,https://www.havelklinik.de/,,,,,,+49 30 362060,,,,,,,,,clinic,,,Wilhelmstadt,,,,,,,,2,,,,,,,,,,,52.5028840,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinrich-Heine-Klinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0526765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.4461632,,,,,,,,,,,,,
,,,orthopaedics,,,,,21,,,,,,,+49 611 565-681,,,no,,,,,,Leibnizstraße,,,,Helios Aukamm-Klinik,,65191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiesbaden,,,,,,8.2658216,,,,,,,,Helios Kliniken GmbH,,,,,,,,,https://www.helios-gesundheit.de/kliniken/wiesbaden-aukamm-klinik/,,,,,,+49 611 565-0,,,,,,,limited,,clinic,,,,,,Q66023980,,,,,,,,,,,,clinic,,,,50.0911923,,hospital,,,,,,,,,DE,,
,,,orthopaedics,,,,,2,,,,,,,+49 40 3197-1900,,,,,,,,,Holstenstraße,,,,Helios ENDO-Klinik Hamburg,,22767,,,,,,,,,,,,,,,,,,,,,info.endo@helios-gesundheit.de,,,,,,,,,,Hamburg,,,,,,9.9548062,,,,,,,,,,,,,,,,,https://www.helios-gesundheit.de/kliniken/hamburg-endo/,,,,,,+49 40 3197-0,,,,,,,yes,,clinic,,,,,,Q19963931,,,,,,,,,"Spezialklinik für Endoprothetik, Sportorthopädie und Wirbelsäulenchirurgie",,,clinic,,,,53.5512320,,hospital,,,,,,,,,DE,,
,,,reha;neurology;rehabilitation,,,,,,,,,,,,,,,no,,,,,,,,,,Helios Klinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3854241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,53.4274430,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,Wittgensteiner Straße,,,,Helios Klinik Schloss Pulsnitz,,01896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulsnitz,,,,,,14.0136956,https://www.helios-gesundheit.de/reha/schloss-pulsnitz/,,,,,,,Helios Kliniken GmbH,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.1791432,,yes,,,,,,,,,DE,,
,,,,,,,,1,,,,,,,,,,,,,,,,Obersteinaer Weg,,,,Helios Klinik Schwedenstein,,01896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulsnitz,,,,,,14.0274663,https://www.helios-gesundheit.de/reha/schwedenstein/,,,,,,,Helios Kliniken GmbH,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.1892726,,yes,,,,,,,,,,,
,,,,,,,,280,,,,,,,,,,,,,,,,Hauptstraße,,,,Hephata Fachklinik Weibersbrunn,,63879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weibersbrunn,,,,,,9.3485019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.9397468,,yes,,,,,,,,,DE,,
,,,,,,,,49,,,,,,,,,,yes (cardiology),,,,,,Magirusstraße,,,,Herzklinik Ulm,,89077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9649180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,clinic,,,,,,,,,,,,,,,,,,,,,,48.3919056,,yes,,,,,,,,,,,
,,,cardiology;cardiac_surgery,,,,,1,,,,,,,+49 34903 49100,,,,,,,,,Lerchenfeld,,,,Herzzentrum Coswig,,06869,,,,,,,,,,,,,,,,,,,,,info.herzzentrum-coswig@mediclin.de,,,,,,,,,,Coswig (Anhalt),,,,,,12.4769651,,,,,,,,MediClin GmbH & Co. KG,,,,,,MediClin Herzzentrum Coswig,,,,,,,,,+49 34903 490,,,,,,,,,clinic,,,,,,Q23787874,,,,,,,,,,,,clinic,,,,51.8787198,,yes,,http://www.herz-zentrum-coswig.de/,,,,,,,DE,,
,,,cardiology;cardiac_surgery,,,,,39,,,,,,,,,,,,,,,,Strümpellstraße,,,,Herzzentrum Leipzig,,04289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leipzig,,,,,,12.4345118,https://www.helios-gesundheit.de/kliniken/leipzig-herzzentrum/,,,,,,,Helios Kliniken GmbH,,,,,+49 341 8650,,,,,,,,,,,,,,,,,,,clinic,,,,,,Q1615521,,,,,,,,,,,,clinic,,,,51.3071261,,,,,,,,,,,DE,,
,,,,,,,,40,,,,,Bing,,,,,yes,,,,,,Hofer Straße,,,,Hochfrankenklinik Münchberg,,95213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Münchberg,,,,,,11.7932317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,50.1951271,,hospital,,,,,,,,,DE,,
,,,,,,,,90,,,,,survey;Yahoo!Sat;Bing,,,,,,,,,,,Godesberger Allee,,,,Hochkreuz Augenklinik und Laserzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonn,,,,,,7.1418708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.6967941,,yes,,http://www.hochkreuz.de/,,,,,,,DE,,
,,,orthopaedics,,,,,40,,,,,,,,,,,,,,,,Hohwaldstraße,,,+49 3596 567204,Hohwaldklinik,,01844,,,,,,,,,,,,,,,,,,,,,,,,,hohwald@asklepios.com,,,,,,Neustadt in Sachsen,,,,,,14.2906782,http://www.hohwaldklinik.de,,,,,,,AKG Klinik Hohwald GmbH,,,,,+49 3596 5670,,,,,,,,,,,,,,,,,,,clinic,,,Hohwald,,,,,,,,,,,,,,,,,,,51.0469774,,,,,,,,,,,DE,,
,,,,,,,,12,,,,,,,,,,yes,,,,,,Fröbershammer,,,,Höhenklinik Bischofsgrün,,95493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bischofsgrün,,,,,,11.8254409,https://www.hoehenklinik-bischofsgruen.de/NBKBG/de/Navigation/0_home/home_node.html,,,,,,,Deutsche Rentenversicherung Nordbayern,,,,,+49 9276 880,,,,,,,,,,,,,,,,,,,clinic,,,Fröbershammer,,,,,,,,,,,,,,,rehabilitation,,,,50.0564638,,,,,,,,,,,DE,,
,,,,,,,,5/1,,,,,,,,,,,,,,,,Altvaterstraße,,,,Institut für Pathologie,,77933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lahr/Schwarzwald,,,,,,7.8876926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.3437781,,yes,,,,,,,,,,,
,,,,,,,,1A,,,,,,,+49 8862 7172,,,,,,,,,Hochbergle,,,,Johannesbad Klinik Königshof,,86983,,,,,,,,,,,,,,,,,,,,,info@klinik-koenigshof.de,,,,,,,,,,Lechbruck am See,,,,,,10.8062190,,,,,,,,,,,,,,,,,https://www.klinik-koenigshof.de/,,,,,,+49 8862 900-0,,,,,,,,,clinic,,,Feriensiedlung Hochbergle,,,,,,,,,,,,,,,,,,,47.7109654,,hospital,,,,,,,,,DE,,
,,,,,,,,6,,,,,,,,,,,,,,,,Körnerplatz,,,,Johanniter Krankenhaus Psychiatrische Tagesklinik Schwarzenbek,,21493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwarzenbek,,,,,,10.4784946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,53.5058135,,hospital,,,,,,,,,,,
,,,,,,,,42,,,,,https://www.johanniter.de/einrichtungen/krankenhaus/dortmund/,,,,,,,,,,,Am Rombergpark,,,,Johanniter-Klinik am Rombergpark,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dortmund,,,,,,7.4656240,,,,,,,,,,,,,,,,,https://www.johanniter.de/einrichtungen/krankenhaus/dortmund/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.4839243,,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 2631 3944-944,Johanniter-Zentrum für Kinder- und Jugendpsychiatrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4649551,https://www.johanniter.de/,,,,,,,Johanniter GmbH,,,,,+49 2631 3944-0,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.4249087,,,,,,,,,,,,,
,,,plastic_surgery,,,,,12,,,,,Bing,,,,,,,,,,,Schlegelstraße,,,+49 228 4330529,Jungbrunnenklinik,,53113,,,,,,,,,,,,,,,,,,,,,,,,,info@jungbrunnenklinik.de,flat,,,,,Bonn,,,,,,7.1217341,https://www.jungbrunnenklinik.de/,grey,,,,,,Dr. Fratila GmbH,,,,,+49 228 433050,,,,,,,,,,,,,,,,,,,clinic,private,,,,,,,,,,3,Privatklinik für plastische Chirurgie,,,,,plaster,clinic,,,,50.7169057,,yes,white,,,,,,,,DE,,
,,,,,,,,12,,,,,,,,,,,,,,,,Franziskanergasse,,,,KVB-Notfallpraxis,,86152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augsburg,,,,,,10.9057170,,,,,,,,,,,,We 14:00-21:00; Fr 18:00-21:00; Sa-Su 09:00-21:00; PH 09:00-21:00,,,,,https://www.gesundheitspark-vincentinum.de/aerzte-und-praxen/notfall/kvb-bereitschaftspraxis-im-gebaeude-franziskanergasse-12/,,,,,,+49 116 117,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.3742462,,yes,,,,,,,,,DE,,
,,,,,,,,26,,,,,,,+49 951 91768 123,,,,,,,,,Hertzstraße,,,,KfH Kuratorium für Dialyse und Nierentransplantation,,96050,,,,,,,,,,,,,,,,,,,,,bamberg@kfh-dialyse.de,,,,,,clinic,,,,Bamberg,,,,,,10.9257376,,,,,KfH Bamberg,,,,KfH,,,,,,,,https://www.kfh.de/nierenzentrum/bamberg/startseite/,,,,,,+49 951 91768 0,,,,,,,,,clinic,,,,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,,,,,,,2,,,,,,,dialysis,,,,49.8924880,,clinic,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 30 620005-30,KfH Nierenzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,berlin.rollbergstrasse@kfh-dialyse.de,flat,,,,,,,,,,,13.4286372,https://www.kfh.de/nierenzentrum/berlin-rollbergstrasse/startseite/,#D4D0C6,,,,,,,,,,,+49 30 620005-0,,,2013,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,plaster,clinic,,,,52.4789620,,clinic,white,,,,,,,,,,
,,,,,,,,44,,,,,Bing,,,,,,,,,,,Falkensteiner Straße,,,,KfH Nierenzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roding,,,,,,12.5203453,,,,,,,,,,,,,,BFS für Krankenpflege,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,49.1893256,,yes,,,,,,,,,DE,,
,,,,,,,,23,,,,,,,,,,,,,,,,Sankt-Elisabeth-Straße,,,,KfH Straubing,,94315,,,,,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,Straubing,,,,,,12.5919259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.8858078,,clinic,,,,,,,,,DE,,
,,,,,,,,75,,,,,,,+49 89 64246 92,,,,,,,,,Seybothstraße,,,,KfH-Nierenzentrum,,81545,,,,,,,,,,,,,,,,,,,,,muenchen.seybothstrasse@kfh-dialyse.de,,,,,flat,,,,,München,,,,,,11.5562464,,grey,,,,,,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,KfH,,,,,,,,https://www.kfh.de/nierenzentrum/muenchen-seybothstrasse/startseite/,,,,,,+49 89 64246 0,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,,,,,48.0868989,,yes,white,,,,,,,,DE,,
,,,,,,,,24,,,,,,,,,,,,,,,,Theresienstraße,,,,KfH-Nierenzentrum,,63741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aschaffenburg,,,,,,9.1367433,,,,,,,,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,,,,,,,,,https://www.kfh.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.9825276,,yes,,,,,,,,,DE,,
,,,,,,,,31,,,,,,,,,,,,,,,,Koburger Straße,,,,KfH-Nierenzentrum,,04416,,,,,,,,,,,,,,,,,,,,,,,,,,mansard,,,,,Markkleeberg,,,,,,12.3694414,,,,,,,,,,,,,,,,,https://www.kfh.de/nierenzentrum/markkleeberg/startseite/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.2899204,,yes,,,,,,,,,DE,,
,,,,,,,,7,,,,,,,,,,,,,,,,Am Finkenhügel,,,,KfH-Nierenzentrum,,49076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osnabrück,,,,,,8.0043952,,,,,,,,,,,,,,,,,https://www.kfh.de/nierenzentrum/osnabrueck/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.2803032,,yes,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,Gruberfeld,,,,KfH-Nierenzentrum Fürstenzell,,94081,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Fürstenzell,,,,,,13.3274624,,gray,,,,,,,,,,,,,,,https://www.kfh.de/nierenzentrum/fuerstenzell/startseite,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.5270448,,yes,,,,,,,,,,,
,,,,,,,,12,,,,,Bing,,+49 941 7887230,,,,,,,,,Plato-Wild-Straße,,,,KfH-Nierenzentrum Regensburg,,93053,,,,,,,,,,,,,,,,,,,,,regensburg.plato-wild-strasse@kfh-dialyse.de,,,,,,,,,,Regensburg,,,,,,12.1196949,,,,,,,,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,,,,,,,,,https://www.kfh.de/nierenzentrum/regensburg-plato-wild-strasse/,,,,,,+49 941 788720,,,,,,,,,clinic,,,,,,,,,,,,,,,KfH-Nierenzentrum beim Krankenhaus St. Josef,,,,,,,49.0075608,,clinic,,,,,,,,,DE,,
,,,nephrology,,,,,10,,,,,,,,,,,,,,,,Aaper Weg,,,,KfH-Nierenzentrum Wesel,,46485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wesel,,,,,,6.6565675,,,,,,,,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,centre,,,,51.6593780,,yes,,,,,,,,,DE,,
,,,child_psychiatry,,,,,,,,,,,,,,,no,,,,,,,,,,Kinder- & Jugend-Psychiatrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9957104,,,,,,,,Carl-von-Basedow-Klinikum Saalekreis gGmbH,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.3649450,,yes,,,,,,,,,,,
,,,paediatrics,,,,,1,,,,,,,,,,,,,,,,Hoppe-Seyler-Straße,,,,Kinderklinik,,72076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tübingen,,,,,,9.0391694,,,,,,,,Universitätsklinikum Tübingen,,,,,,,,,https://www.medizin.uni-tuebingen.de/kinderklinik/de/,,,,,,+49 7071 29-83781,,,,,,,yes,,clinic,public,,,,,,,,,,7,,,,,,,clinic,,,,48.5304282,,hospital,,,,,,,,,,,
,,,paediatrics,,,,,,,,,,,,,,,,,,,,,,,,,Kinderklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9921935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.4104638,,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinderklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6990704,,#B1A3A0,,4,,,,Klinikum Herford,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,1,,,,,,,,,,,52.1260924,,yes,#B1A3A0,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,,,,Elly-Kutscher-Straße,,,,Kinderklinik am Nicolausholz Bad Kösen,,06628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naumburg (Saale),,,,,,11.7438131,https://www.median-kliniken.de/de/median-kinderklinik-am-nicolausholz-bad-koesen/,,,,,,,MEDIAN Unternehmensgruppe B.V. & Co. KG,,,,,+49 34463 430,,,,,,,,,,,,,,,,,,,clinic,,,Bad Kösen,,,,,,,,,,,,,,,rehabilitation,,,,51.1322556,,,,,,,,,,,DE,,
,,,,,,,,15,,,,,,,,,,,,,,,,Max-Planck-Straße,,,,"Kinderwunsch Praxisklinik Trier, Dr. med. Satari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trier,,,,,,6.6693439,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.7564112,,yes,,,,,,,,,,,
,,,,,,,,30,,,,,,,,,,,,,,,,Wachauer Straße,,,,Kleinwachau - Sächsisches Epilepsiezentrum Radeberg,,01454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radeberg,,,,,,13.9011425,,,,,,,,Kleinwachau - Sächsisches Epilepsiezentrum Radeberg gemeinnützige GmbH,,,,,,,,,https://www.kleinwachau.de/,,,,,,,,,,,,,yes,,clinic,,,Liegau-Augustusbad,,,Q1773940,,,,,,,,,,,,clinic,,,,51.1410872,,yes,,,,,,,,,DE,,
,,,,,,,,10,,,,,,,,,,,,,,,,Martin-Andersen-Nexö-Straße,,,,"Klinik ""Am Schillergarten""",,08645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Elster,,,,,,12.2410617,https://www.paracelsus-kliniken.de/klinik-am-schillergarten.html,,,,,,,Paracelsus-Kliniken Deutschland GmbH & Co. KGaA,,,,,,,,,,,,,,,,,,,,,,limited,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,50.2785298,,yes,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,Zenostraße,,,,Klinik Alpenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8846413,,,,,,,,,,,,,,,,,,,,,,,+49 8651 603503,,,,,,,,,clinic,,,,,,,,,,,,E-Mail: info@klink-alpenland.de,,,,,,,,,,47.7325552,,yes,,,,,,,,,,,
,,,orthopaedics;cardiology,,,,,14,,,,,,,,,,,,,,,,Christian-Schüller-Straße,,,+49 37438 96504,Klinik Bad Brambach,,08648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Brambach,,,,,,12.2987433,http://www.klinik-bad-brambach.de/,,,,,,,Dr. Ebel Fachkliniken Verwaltungs-GmbH,,,,,+49 37438 960,,,,,,yes,,,,,,,,,,,,,clinic,,,,,,,,yes,,,,,,,,,,rehabilitation,,,yes,50.2245254,,yes,,,,,,,,,,,
