health_facility:type,healthcare_1,name:cy,healthcare:speciality,building:part,indoor,payment:debit_cards,clinic,health_specialty:traditional_chinese_medicine,postcode,smoking,is_in,addr:housenumber,source:addr:housenumber,addr:state,pharmacy,source,health_specialty:physiotherapy,addr:village,fhrs:local_authority_id,fax,emergency,source:name,leisure,source:area,wikimedia_commons,addr:street,payment:bitcoin,fixme,name:en,contact:fax,name,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,HE_ref,postal_code,health_specialty:general_practice,health_specialty:podiatry,amenity_1,operator,full_name,loc_name,source:addr,power,access,fhrs:authority,generator:output:electricity,ref,email,building:height,barrier,contact:email,addr:province,fhrs:id,roof:shape,building:use,source:geometry,addr:city,source:building,toilets:wheelchair,health_specialty:orthopaedics,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,lat,alt_name,nhs,generator:source,fee,addr:floor_1,addr:floor_2,area,opening_hours,contact:phone,addr:housename,heritage,website,addr:unit,listed_status,telephone,phone,old_name,source:outline,generator:type,room,dispensing,landuse,roof:levels,amenity,source:shape,operator:type,out-of-hours,addr:suburb,building:min_level,generator:method,wikidata,source:postcode,health_specialty:cardiology,verified,building:levels,image,note,FIXME,description,building:material,health_specialty:acupuncture,last_check,min_height,levels,toilets,addr:county,source:addr:postcode,building,building:colour,medical_system:chinese,website_3,website_2,website_1,name:gd,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,yes,,,,,,,,3-5,,,,,,,,,,,,,,Weighhouse Street,,,,,Mayfair Medical Centre,,W1K 5LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1501268,https://www.centrallondonhealthcare.co.uk/our-gp-practices/mayfair-medical-centre/,,,,51.5135507,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,94a,,,,,,,,,,,,,,Whitechapel High Street,,,,,Med-Pol Medical Centre,,E1 7RA,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0712036,,,,,51.5156933,,,,,,,,,,,,https://www.med-pol.co.uk,,,,+442072478218,,,,,,,,clinic,,,,,2,,,,,,,,,,,,,,2,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7890537,,,,,54.0083681,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2918064,,,,,54.0286519,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5260821,,,,,53.2596551,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,cosmetic,,,,,,,,,survey,,,,,,,,,,,,,,,Medical Cosmetics,,NG2 7RS,,,,,,,,,,,,survey;website,,,,,,,,,,,,,,,,,,,,-1.1535401,,,,,52.9185656,,,,,,,,,,,,https://www.medicalcosmeticsltd.co.uk/,,,,,Compton Acres Medical Centre,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Compton Acres Shopping Centre,,cosmetic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medigold Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5915304,,,,,51.4559032,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,office,,,,,,,,,,,,,
,,,,,,,,,,,,20,,,,,,,,,,,,,,Whiteladies Road,,,,,Medikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6091382,,,,,51.4603140,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Reigate Road,,,,,Medwyn Centre,,RH4 1SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3239809,,,,,51.2347340,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melrose Health Centre,,,,,,,,,,,NHS Borders,,,,,,,,,,,,,,,,,,,,,,,-2.7233846,,,,,55.5977402,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,50,,,,OS_OpenData_StreetView,,,,,,,,,,Lode Lane,,,,,Midland Eye,,B91 2AW,,,,,,,,,,,,,,,,,,,,,,,,,,,Solihull,,,,,-1.7755772,,,,,52.4196731,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millfield Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4005699,,,,,54.9063151,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,1,,,,Bing;Survey,,,,,,,,,,Chapel Lane,,,,,Monkseaton Clinic,,NE25 8AD,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley Bay,,,,,-1.4639903,,,,,55.0402446,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monton Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3572868,,,,,53.4919007,,,,,,,,"Mo 08:00-18:30; Tu 07:00-18:30; We,Th 08:00-20:00; Fr 08:00-18:30; Sa,Su off",,,,https://www.nhs.uk/services/gp/overview/defaultview.aspx?id=42801,,,,+44 844 815 1147,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montpelier Health Centre,,BS6 5PT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,-2.5898560,,,,,51.4671209,,,,,,,,,,Bath Buildings,,,,,,,,,,,,,,clinic,,,,Montpelier,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,osteopathy,,,,,,,,,128A,,,,,,,,,,,,,,Melton Road,,,,,Moore Osteopathy,,NG2 6EP,,,,,,,,,,,,website,,,,,,,,,,,,,,,,,,,,-1.1292394,,,,,52.9267362,,,,,,,,,,,,http://www.mooreosteopathy.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,alternative,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Moorfield Road Health Centre,,EN3 5TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0469891,,,,,51.6601134,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,http://www.nhs.uk/Services/gp/Overview/DefaultView.aspx?id=39272,,,,,,
,,,,,,,,,,,,22,,,,,,,,,,,,,,Derby Way,,,,,Moorgate Primary Care Centre,,BL9 0NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Bury,,,,,-2.2889938,,,,,53.5954998,,,,,,,,,,Moorgate Primary Care Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,Muirton Road,,,,,Moray Coast Health Centre,,IV31 6TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3066112,,,,,57.7114313,,,,,,,,Mo-Fr 08:00-18:00,,,,http://www.moraycoastmedicalpractice.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Morpeth NHS Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6833937,,,,,55.1719953,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,venereology,,,,,,,,,,,,,,,,,,,,,,,Capper Street,,,,,Mortimer Market Centre,,WC1E 6JB,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.1356775,,,,,51.5225666,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,3-5,,,,Bing,,,,,,,,,,Bounds Green Road,,Check Outline,,,Morum House,,N22 8HE,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.1121063,,,,,51.5991218,,,,,,,,,,Morum House,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moulsham Lodge Clinic,,,tar_paper,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,0.4743139,,,,,51.7155626,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,brick,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moulsham Lodge Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4750889,,,,,51.7166382,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,brick,,,,,,,,yes,,,,,,,,,,,doctor,,
,,,,no,,,,,,,,1A,,,,,,,,,,,,,,Ballycolman Avenue,,,,,Mourneside Family Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4683068,,,,,54.8228271,,,,,,,,Mo-Fr 08:30-18:00,,,,http://www.mysurgerywebsite.co.uk/index.aspx?p=Z00601,,,,028 7138 3737,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyle Medical Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8163143,,,,,54.8549422,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyle Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8164627,,,,,54.8543759,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,Mr Liu Chinese Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2233168,,,,,51.5029399,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,155,,,,Bing,,,21789,,,,,,,Barkers Lane,,,,,Multiple Sclerosis Therapy Centre,,MK41 9RX,,,,,,,,,,,,,,,Bedford,,,,,,,,85938,,,,Bedford,,,,,-0.4385249,,,,,52.1336587,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murton Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0413813,,,,,51.5828951,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,Musselburgh Primary Care Centre,,,,,,,,,,,NHS Lothian,,,,,,,,,,,,,,,,,,,,,,,-3.0526815,,,,,55.9386823,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,My Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6233789,,,,,55.0286224,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,1a,,,,,,,,,,,,,,Whittingham Road,,,,,"N. T. Collins, Physiotherapist",,NG3 6BL,,,,,,,,,,,,,,,,,,,,,,,,,,,Nottingham,,,,,-1.1223127,,,,,52.9831475,,,,,,,,,,,,,,,,+44 115 962 1548,,,,,,,,clinic,,,,Mapperley,,,,,,,,,,,,,,,,,,,,detached,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Top Valley Way,,Not sure what services are offered. Appears not to be a doctors' surgery.,,,NHS Health Point,,NG5 9DD,,,,,,,,,Nottinghamshire NHS,,,NCC Open Data planning,,,,,,,,,,,,,,,,,,,,-1.1787963,,,,,53.0020993,,,,,,,,,,NHS Health Point,,,5,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS Highland Occupational Health Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1970301,,,,,57.4767802,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS Outpatient & Midwifery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thornbury,,,,,-2.5248075,,,,,51.6082935,,,,,,,,,,,,,,,,,,Bing,,,,,,clinic,,,,,,,,,,,,,Health services moving here late 2019? now open Jan 2020,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,general,,,,,,,,,,,,,OS OpenData StreetView,,,,,,,,,,,,,,,NHS Walk-In Centre,,,,,,,,,,,Sheffield Teaching Hospitals NHS Foundation Trust,,,,,,,,,,,,,,,,,,,,,,,-1.4774516,https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36346,,,,53.3828839,Sheffield City HP Health Centre,,,,,,,Mo-Su 08:00-22:00,,Rockingham House,,https://www.nhs.uk/Services/clinics/Services/Service/DefaultView.aspx?id=288183,,,,+44 1142 412700,,,,,yes,,,clinic,,public,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,12,,,,,,,,,,,,,,Castle Road,,,,,NHS clinic,,SS6 7QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6026303,,,,,51.5842292,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Slimming & Cosmetic Clinics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5888082,,,,,51.4590843,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nethertown Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4526533,,,,,56.0657010,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nevells Road Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2302133,,,,,51.9812175,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,New Ash Green Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3056848,,,,,51.3667317,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,Sexual Health,,,,,,,,,,,,,Bing,,,,,,,,,,Market Street East,,,,,New Croft Centre,,NE1 6ND,,,,,,,,,,,,,,,,,,,,,,,,,,,Newcastle Upon Tyne,,,,,-1.6077324,,,,,54.9742116,,,,,,,,,,,,,,,,+44 191 229 2999,,,,,,,,clinic,,,,,,,,,,,4,,,,,brick,,,,,,,,yes,,,,,,,http://www.newcastle-hospitals.org.uk/services/sexual-health_clinics-and-walkin-centres_new-croft-centre.aspx,,,,clinic,,
,,,,,,,,,,,,23a,,,,,,,,,,,,,,Altonrea Gardens,,,,,New Dyce Medical Practice,,AB21 7NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,-2.1772387,,,,,57.2063805,,,,,,,,,,Dyce Health Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Haw Therapy Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4961124,,,,,51.3503584,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,psychiatry,,,,,,,,,,,,,,,,,,,,,,,North Street,,,,,New Park House,,RH12 1RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Horsham,,,,,-0.3237290,,,,,51.0643441,,,,,,,,,,New Park House,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newbattle Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0496038,,,,,55.8677727,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Newcastle Sports Injury Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6109220,,,,,54.9974413,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,153,,,,,,,,+44 1603 452229,,,,,,Newmarket Road,,,,,Newmarket House Clinic,,NR4 6SY,,,,,,,,,,,,,,,,,,nhc@clara.net,,,,,52579,,,,Norwich,,,,,1.2657265,,,,,52.6144898,,,,,,,,,,,,https://www.newmarket-house.co.uk/,,,,+44 1603 452226,,,,,,,,clinic,,,,,,,,,,,,,Provides treatment for eating disorders,,,,,,,,,,,house,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has this changed name?,,,Newry Health Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3443802,,,,,54.1766598,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newton Heath Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1844055,,,,,53.5023597,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Glenmuir Place,,,,,North Ayr Health Centre,,KA8 9RS,,,,,,,,,NHS Ayrshire and Arran,,,,,,,,,,,,,,,,,,Ayr,,,,,-4.5993895,,,,,55.4739684,,,,,,,,,,,,,,,,+44 1292 885500,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Heaton Road,,,,,North East Clinic - Accident Rehabilitation Specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newcastle Upon Tyne,,,,,-1.5802554,,,,,54.9800038,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Longford Road West,,,,,North Reddish Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1586040,,,,,53.4456640,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,Auto_OS_OpenData_StreetView,,,,,,,,,,,,,North Uist Medical Practice,,North Uist Medical Practice,,,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,,,,,,-7.1605756,,,,,57.6045182,,,,,,,,"Mo-We,Fr 09:00-11:00,15:30-17:00; Th 09:00-11:00 open, Th ""open alternate Thursday's 15:30-17:00""",,,,http://www.north-uist-medical.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Ionad Slainte Uibhist a' Tuath,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Yorkshire Orthopaedic Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1098609,,,,,53.9769639,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,580,,,,,,,,,,,,,,Holloway Road,,,,,Northern Health Centre,,N7 6LB,,,,,,,,,,,,,,,,,,,,,,,,,,,london,,,,,-0.1235264,,,,,51.5608207,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,4,,,,,,,,,,,,,hospital,,,,,,,,,,,,,
,,,,,,,,,,,,74,,,,,,,,,,,,,,Somerton Road,,,,,Northern Ireland Hospice,,BT15 3LH,,,,,,,,,,,,,,,,,,,,,,,,,,,Belfast,,,,,-5.9360920,,,,,54.6267887,,,,,,,yes,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Moor Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2919938,,,,,53.4094753,,,,,,,,,,,,"http://www.northernmoor.nhs.uk/opening-hours,59560.htm",,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,Northgate Health Clinic,,,,,,,,,,,,,,Northgate,,,,,Northgate Health Clinic,,WV16 4EN,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgnorth,,,,,-2.4229785,,,,,52.5381321,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,Northumberland Heath Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1659578,,,,,51.4769698,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,95,,,,,,,,,,,,,,Doagh Road,,,,,Nottinghill Medical Practice,,BT37 9QN,,,,,,,,,Northern Health and Social Care Trust,,,,,,,,,,,,,,,,,,Newtownabbey,,,,,-5.9131040,,,,,54.6713054,,,,,,,yes,"Mo-Fr 08:30-12:15, 13:30 - 17:30",,,,http://www.nottinghillmedicalpractice.co.uk,,,,+44 28 9080 8200,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general_practitioner,,
,,,,,,,,,,,,20,,,,OS_OpenData_StreetView,,,,,,,,,,Rishworth Street,,,,,Novaderm,,WF1 3BY,,,,,,,,,,,,,,,,,,,,,,,,,,,Wakefield,,,,,-1.5015507,,,,,53.6851773,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutgrove Villa Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8413087,,,,,53.4102760,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakley Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5677562,,,,,56.0856258,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Park Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0636326,,,,,51.4131762,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,54,,,,,,,,,,,,,,Station Road,,,,,Old School Surgery,,BT38 8TP,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenisland,,,,,-5.8654744,,,,,54.6935387,,,,,,,,,,,,http://www.theoldschoolsurgery.co.uk/clinics-and-services.aspx?t=1,,,,+4428 9086 4455,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,,,,,,,,,,,,,,Upper Oldfield Park,,,,,Oldfield Surgery,,BA2 3HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,-2.3743373,,,,,51.3764398,,,,,,,,,,,,https://heartofbath.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,153,,,,Warwickshire CC Aerial Imagery 2013,,,,,,,,,,Warwick Road,,,,,Olton Foot and Sports Injury Clinic,,B92 7HN,,,,,,,,,,,,,,,,,,,,,,,,,,,Solihull,,,,,-1.8066717,,,,,52.4386394,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,Park Road,,,,,One Life Centre,,TS24 7PW,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartlepool,,,,,-1.2151451,,,,,54.6824374,One Life Hartlepool,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,One Recovery Buckinghamshire,,,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,,,,,,-0.8077630,,,,,51.8113150,,,,,,,,,,,,https://onerecoverybucks.org/,,,,,,,,,,,,clinic,,public,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
