health_facility:type,shop,office,healthcare:speciality,building:part,payment:debit_cards,ref:addr,addr:housenumber,emergency,contact:youtube,ele,source,opening_hours:url,image,fax,short_name,fixme,historic,facebook,name:uk,wikimedia_commons,addr:street,colour,contact:facebook,name:en,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,WroclawGIS:addr:postcode:id,payment:credit_cards,roof:orientation,source:user,internet_access,name_1,WroclawGIS:addr:layer,roof:height,WroclawGIS:building:ID,ewmapa:warstwa,WroclawGIS:addr:date,payment:cash,loc_name,phone_2,building:usage:pl,phone_1,3dr:type,source:address,mapillary,boundary,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,contact:twitter,health_specialty:internal_medicine,addr:city:simc,WroclawGIS:addr:id,building:buildyear,source:geometry,addr:city,source:building,source_ref,building:type:pl,drive_through,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,operator,name:pl,old_name:de,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,admin_level,source:height,survey:url,is_in:suburb,addr:subdistrict,delivery,phone,WroclawGIS:building:date,old_name,smoking,OBJECTID_height_lidar,WroclawGIS:addr:postcode:layer,nat_name,source:note,note:pl,buildingpart,architect,dispensing,source:addr,landuse,wheelchair,amenity,operator:type,health_specialty:gynaecology,telephone,official_name,addr:last_update,building:use:pl,medical_system:western,addr:district,building:levels,health_specialty:family_medicine,contact:instagram,note,collection_times,building:fireproof,disused:amenity,description,building:material,takeaway,levels,lat,building,building:colour,url,roof:levels,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator,health_specialty:dentistry
,,,general;cardiology;neurology;occupational;,,,,112a,,,,UM Ruda Śląska,,,,,,,,,,Księdza Ludwika Tunkla,,,,,PORADNIA GSU ZDROWIE,,,41-707,,,,,,,,,,,,"Przyziemie budynku ognioodpornego, podpory, podcienia z pomiaru w terenie",,,,,,,,,,,,,rejestracja@gsu-zdrowie.pl,,,,,,,,,,,Ruda Śląska,,,,,,18.9068430,,,,,,,,,,,,,,,,https://www.gsuzdrowie.pl,,,,,,,+48 32 723 23 18,,,,,,,,,,,,,,,doctors,,,,,,,,,1,,,,,yes,,,,,,50.2702822,yes,,,,,,doctor,,,
,,,,,,,1a,,,,,,,,,,,,,,Obozowa,,,,,POZ Hipokrates,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,,,18.0733415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,51.7425995,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PRZYCHODNIA RODZINNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0741734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.3066449,yes,,,,,,,,,
,,,,,,,26,,,,,,,,,,,,,,Kazimierza Kühna,,,,,"PRZYCHODNIA ZAMKOWA ""AMICUS""",,,42-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olsztyn,,,,,,19.2669210,,,,,,,,,,,,,,,,http://www.cm-amicus.pl/Przychodnia-Zamkowa-AMICUS,,,,,,,+48 34 317 04 46,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,50.7463297,yes,,,,,,doctor,,,
,,,,,,,50,,,,,,,,,,,,,,Uzdrowiskowa,,,,,Pawilon sanatoryjny Magnolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9788425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.9380469,yes,,,,,,,,,
,,,,,,,52,,,,,,,,,,,,,,Uzdrowiskowa,,,,,Pawilon sanatoryjny Wrzos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9790280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.9377653,yes,,,,,,,,,
,,,,,,,7,,,,,,,,,,,,,,Parkowa,,,,,"Pediatryczno-Internistyczny NZOZ ""Parkowa""",,,74-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gryfino,,,,,,14.4907053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gryfino.e-mapa.net,,,doctors,,,,,,,,,1,,,,,,,,,,,53.2549246,healthcare,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Piastowskie Centrum Terapii i Profilaktyki Zdrowia Psychicznego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9458908,,,,,,,,,,,,,,,,,,,,,,,8773961,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3889037,,,,,,,,,,
,,,,,,,31,,,,,,,,,,,,,,Wita Stwosza,,,,,Polfra-Med Laboratorium Analityczne,,,43-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,,19.0274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.8260445,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poliklinika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4588833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.2829542,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Polskie Centrum Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0530388,,,,,,,PCZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.1166991,,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,,,Hutnicza,,,,,Porad-Med Sp. Z o.o,,,41-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Świętochłowice,,,,,,18.9159751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UM Świętochłowice,,,doctors,,,,,,,,,,,,,,,,,,,,50.2895807,yes,,,,,,doctor,,,
,,,,,,,6,,,,,,,,,,,,,,Łagiewnicka,,,,,"Poradnia ""Familia""",,,41-608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Świętochłowice,,,,,,18.9157557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.3162452,yes,,,,,,doctor,,,
,,,cardiology,,,,36,,,,,,,,,,,,,,Niezapominajek,,,,,Poradnia Dla Serca,,,40-748,,,,,,,,,,,,,,,,,,,,,,,,,kontakt@poradniadlaserca.pl,,,,,,,,,,,Katowice,,,,,,18.9715744,,,,,,,,,,,,,,,,http://www.poradniadlaserca.pl/,,,,,,,+48 795 383 510,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.1643064,yes,,,,,,doctor,,,
,,,,yes,,,,,,,,,,,,,,,,,,,,,,Poradnia Dziecięca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4932213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,1,,,,,,,,,,,50.9429075,,,,,,,,,,
,,,,,,,9,,,,,,,,,,,,,,Błonie,,,,,Poradnia Gruźlicy i Chorób Płuc,,,38-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanok,,,,,,22.2090681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.5584607,yes,,,,,,doctor,,,
,,,cardiology,,,,27,,,,UM Zielona Góra,,,,,,,,,,Wandy,,,,,Poradnia Kardiologiczna Puls,,,65-095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zielona Góra,,,,,,15.4994842,,,,,,,PULS s.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,https://lubuskie.fotopolska.eu/Wandy_Zielona_Gora?map_z=18,,,,51.9392667,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Leczenia Uzależnień,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0204415,,,,,,,,,,Mo-Tu 8:00-19:00; Fr 8:00-18:00,126468317,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.0912485,yes,,,,,,,,,
,,,,,,,18A,,,,,,,,,,,,,,11 Listopada,,,,,Poradnia Leczenia Uzależnień i Współuzależnienia,,,62-540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleczew,,,,,,18.1854402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3640394,yes,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,Strażacka,,,,,"Poradnia Lekarska ""KLECZEW"" s.c.",,,62-540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleczew,,,,,,18.1776792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,52.3697554,yes,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,,,Dywizjonu 303,,,,,Poradnia Lekarza POZ,,,44-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knurów,,,,,,18.6537610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,1,,,,,,,,,,,50.2370813,yes,,,,,,,PL,,
,,,,,,,6,,,,geoportal,,,,,,,,,,Wysoka,,,,,Poradnia Lekarza Rodzinnego,,,87-721,,,,,,,,,,,,,,,,,,,,,,,25067,,,,,,,,,0867897,,,,Raciążek,,,,,,18.8126731,,,,,,,,,,,,,,,,,,,,,,,+48 693 593 699,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,52.8566835,commercial,,,,,,pharmacy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Lekarza Rodzinnego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0845162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1500192,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Lekarza Rodzinnego w Żarkach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3493058,,,,,Miejskie Centrum Medyczne w Libiążu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.0807572,yes,,,,,,doctor,,,
,,,general,,,,7,,,,,,,,,,,,,,Juliana Ursyna Niemcewicza,,,,,Poradnia Lekarzy Rodzinnych,,,30-427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,,,19.9256844,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,mcspodgorze.pl;http://www.poradniaborek.pl/,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,5,,,,,,,,,,,50.0187835,yes,,,,Kraków,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Poradnia Lekarzy Specjalistów ""Jantar""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8243589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.6485376,yes,,,,,,doctor,,,
,,,,,,,,,,,"OSM Tracker, knowledge, Bing",,,,,,,,,,,,,,,Poradnia Medycyny Rodzinnej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8863002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,50.2685847,yes,,,,,,,,,
,,,,,,,12,,,,geoportal.szczecin.pl,,,,,,,,,,Władysława Broniewskiego,,,,,Poradnia Nabytych Niedoborów Immunologicznych,,,,,,,,,,,,,,,,,,,,Szpital lub zakład opieki medycznej,,,,,,,,,,,,,,,,,,,,,,,,,14.5306006,,,,,,,,,,,,Budynek NN,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,1,,,,,,,,,,,53.4524285,healthcare,,,,,0,,,,
,,,,,,,8,,,,,,,,,,,,,,Opolska,,,,,Poradnia Ogólna Truskolasy,,,42-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Truskolasy,,,,,,18.8243386,,,,,,,,,,,,,,,,https://zozklobuck.com.pl/,,,,,,,+48 34 319 90 63,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.8679639,yes,,,,,,doctor,,,
,,,,,,,61a,,,,,,,,,,,,,,Kosynierów Gdyńskich,,,,,Poradnia Podstawowej Opieki Zdrowotnej Szpitala Zakonu Bonifratrów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,,19.4730128,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,https://bonifratrzy.pl/ppoz-lodz/,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,51.7174202,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Psychologiczno - Pedagogiczna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5342501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.5174873,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Psychologiczno - Pedagogiczna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9060317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.6029642,yes,,,,,,doctor,,,
,,,,,,,14,,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,Adama Mickiewicza,,,,,Poradnia Psychologiczno-Pedagogiczna,,,46-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Namysłów,,,,,,17.7279238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.0723462,yes,,,,,,,,,
,,,,,,,18,,,,,,,,,,,,,,Henryka Sienkiewicza,,,,,Poradnia Psychologiczno-Pedagogiczna,,,32-200,,,,,,,,,,,,,,,,,,,,,,,19834,,,,,,,,,0947225,,,,Miechów,,,,,,20.0216162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,50.3571113,yes,,,,,,,,,
,,,,,,,45,,,,,,,,,,,,,,Kolejowa,,,,,Poradnia Psychologiczno-Pedagogiczna,,,59-620,,,,,,,,,,,,,,,,,,,,,,,08828,,,,,,,,,0936003,,,,Gryfów Śląski,,,,,,15.4173047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,51.0312191,yes,,,,,,doctor,,,
,,,,,,,14,,,,,,,,,,,,,,Macieja Rataja,,,,,Poradnia Psychologiczno-Pedagogiczna nr 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,Katowice,,,,,,18.9754218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.2609029,,,,,,,,,,
,,,,yes,,,9,,,,,,,,,,,,,,Piaskowa,,,,,Poradnia Rehabilitacji Leczniczej,,,18-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łapy,,,,,,22.8771720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,1,,,,,,,,,,,52.9939980,yes,,,,,,,,,
,,,,,,,18,,,,,,,,,,,,,,Józefa Ignacego Kraszewskiego,,,,,Poradnia Terapii Uzależnienia I Współuzależnienia Od Alkoholu,,,05-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pruszków,,,,,,20.8123418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.1624647,yes,,,,,,doctor,,,
,,,,,,,197,,,,,,,,,,,,,,Królewiecka,,,,,Poradnia Zdrowia Psychicznego dla Dzieci,,,82-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elbląg,,,,,,19.4270882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urząd Miasta Elbląg,,,doctors,,,,,,,,,,,,,,,,,,,,54.1796045,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia Ziołolecznicza Konwentu Bonifratrów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4718344,,,,,,,,,,Mo-Fr 08:00-17:30; Sa 09:00-13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.7173221,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Poradnia w Hutkach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0067010,,,,,,,Gminny Zakład Opieki Zdrowotnej w Konopiskach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.6814992,yes,,,,,,doctor,,,
,,,,,,,33,,,,,,,,,,,,,,Stefana Żeromskiego,,,,,Poradnia Żeromskiego,,,01-882,,,,,,,,,,,,,,,,,,,,,,,26469,,,,zeromskiego@cepelek.pl,,,,,0918123,,,,Warszawa,,,,,,20.9464289,,,,,,,"Centralna Wojskowa Przychodnia Lekarska ""CePeLek""",,,,+48 26 185 22 45,,,,,,,,,,,,,,,,,,,,,,,,mapa.um.warszawa.pl,,,doctors,,,,Ce Pe Lek. Centralna Wojskowa Przychodnia Lekarska,,,,,4,,,,,,,,,,,52.2765197,yes,,,,,,doctor,,,
,,,,,,,55,,,,,,,,,,,,,,Michała Drzymały,,,,,Poradnie Specjalistyczne,,,41-407,,,,,,,,,,,,,,,,,,,,,,,04317,,,,,,,,,0941582,,,geoportal.gov.pl:ortofoto,Imielin,,,,,,19.1764456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mimielin.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.1478388,yes,,,,,,,,,
,,,,,,,1a,,,,,,,,,,,,,,Aleja Wolności,,,,,"Poradnie Specjalistyczne ""Medicus"" s.c.",,,63-500,roof_tiles,,,,,,,,,,,,,,,,,,,,,,00207,,,,,,gabled,,,0937250,,,,Ostrzeszów,,,,,,17.9276412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,1,,,,,,,,,,,51.4252527,yes,,,,,,,,,
,,,,,,,2a,,,,,,,,,,,,,,Juliana Fałata,,,,,Poradnie i POZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bystra,,,,,,19.0720961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.7648738,yes,,,,,,,,,
,,,,,,,1a,,,,,,,,,,,,,,Główna,,,,,Poradnie lekarskie,,,66-340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0185962,,,,Przytoczna,,,,,,15.6738997,,,,,,,,,,Mo-Fr 8:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (przytoczna.e-mapa.net),,,doctors,,,,,,,,,2,,,,,,,,,,,52.5765705,yes,,,,,,,,,
,,,,,,,3,,,,,,,,,,,,,,Bernarda Chrzanowskiego,,,,,Portowy Zakład Opieki Zdrowotnej Spółka z o.o.,,,81-338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gdynia,,,,,,18.5426004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,54.5302230,yes,,,,,,,PL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Powiatowa Przychodnia Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8891070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,52.8010580,yes,,,,,,,,,
,,,,,,,25,,,,,,,,,,,,,,Pabianicka,,,,,Practimed,,,53-339,,,27177,,,,,,,,31406,,,,,,,,,,,,15498,,,,,,flat,,,,,,,Wrocław,,,,,,17.0287942,,#787878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,4,,,,,,,,,,,51.0922314,yes,#66CCFF,,,,,,PL,,
,,,,,,,48A,,,,,,,,,,,,,,,,,,,"Praktyka Lekarska ""Eskulap""",,,23-425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6514081,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,+48846856009,,,,,,,,,,,,biszcza.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.3992187,yes,,,,Biszcza,,,,,
,,,,,,,14,,,,,,,,,,,,,,Wilczycka,,,,,Praktyka Lekarza Rodzinnego,,,55-093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiełczów,,,,,,17.1773866,www.pani-doktor.pl,,,,,,,,,Mo-Fr 08:00-18:00,+48713988015,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.1370828,yes,,,,,,,PL,,
,,,,,,,2b,,,,,,,,,,,,,,Zwycięzców,,,,,Praktyka Lekarza Rodzinnego Goebel - Zajączkowski,,,68-200,,,,,,,,,,,,,,,,,,,,,,,26330,,,,,,,,,0988684,,,,Żary,,,,,,15.1274775,,,,,,,,,,,,,,,,,,,,,,,+48 68 363 44 33,,,,,,,,,,,,mzary.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.6355884,yes,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,Świętego Marcina,,,,,Praktyka Lekarza Rodzinnego Krzysztof Maruszczak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1939845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.0513734,yes,,,,,,,,,
,,,,,,,75,,,,,,,,,,,,,,Stary Kisielin-Pionierów Lubuskich,,,,,Praktyka Lekarza Rodzinnego Zofia Abramek-Sikora,,,65-001,,,,,,,,,,,,,,,,,,,,,,,47835,,,,,,,,,0988313,,,,Zielona Góra,,,,,,15.5844731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zielonagora.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.9332052,yes,,,,,,doctor,,,
,,,,,,,6,yes,,,,,,,,,,,,,Józefa Piłsudskiego,,,,,Praktyka Lekarzy Rodzinnych,PLR NZOZ,,22-550,,,,,,,,,,,,,,,,,,,,,,,16264,,,,,,,,,0905280,,,,Werbkowice,,,,,,23.7638337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,werbkowice.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.7519908,yes,,,,,,,,,
,,,,,,,33A,yes,,,,,,,,,,,,,Mikołaja Kopernika,,,,,Praktyka Lekarzy Rodzinnych,PLR NZOZ,,22-550,,,,,,,,,,,,,,,,,,,,,,,09282,,,,,,,,,0905280,,,,Werbkowice,,,,,,23.7698518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,werbkowice.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.7494890,yes,,,,,,,,,
,,,,,,,7a,yes,,,,,,,PLR NZOZ,,,,,,Jana Pawła II,,,,,Praktyka Lekarzy Rodzinnych,,,22-550,,,,,,,,,,,,,,,,,,,,,,,07123,,,,,,,,,0905280,,,,Werbkowice,,,,,,23.7683259,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,werbkowice.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.7536002,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Primed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9070854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.6085577,yes,,,,,,doctor,,,
,,,,,,,8,,,,http://www.czerwonak.pl/mieszkaniec/pl/niezbednik/zdrowie.html,,,,,,,,,,Bydgoska,,,,,Pro Familia Owińska,,,62-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0582083,,,,Owińska,,,,,,16.9747853,,,,,,,,,,Mo-Fr 08:00-18:00; Sa-Su off,,,,,,http://www.profamilia.com.pl/,,,,,,,+48 61 812 65 13,,,,,,,,,,,,EMUiA (czerwonak.e-mapa.net),,yes,doctors,,,,,,,,,,,,,,,,,,,,52.5167918,yes,,,,,,,PL,,
,,,,,,,2,,,,,,,,,,,,,,Strażacka,,,,,Pro-Med,,,,,,,,,,,,,,,,,,,,,,,,,,21271,,,,,,,,,0867510,,,,Piotrków Kujawski,,,,,,18.4956020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,piotrkowkujawski.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,52.5476745,yes,,,,,,,,,
,,,,,,,165,,,,,,,,,,,,,,Krężnicka,,,,,Pro-Med Gebinety Specjalistyczne,,,20-518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lublin,,,,,,22.5036200,,,,,,,,,,,,,,,,,,,,,,,+48817500973,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,yes,doctors,,,,,,,,,,,,,,,,,,,,51.1711122,yes,,,,,,,,,
,,,,,,,7F,,,,http://www.czerwonak.pl/mieszkaniec/pl/niezbednik/zdrowie.html,,,,,,,,,,Osiedle Leśne,,,,,Profamilia Koziegłowy,,,62-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0582048,,,,Koziegłowy,,,,,,16.9931113,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,http://www.profamilia.com.pl/,,,,,,,+48 61 641 92 93,,,,,,,,,,,,EMUiA (czerwonak.e-mapa.net),,yes,doctors,,,,,,,,,,,,,,,,,,,,52.4516195,yes,,,,,,,PL,,
