shop,building:part,indoor,payment:cash,ref:addr,addr:housenumber,payment:debit_cards,addr:state,source,drive_in,short_name,addr:street,source:name,fixme,name,designation,level,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:user,payment:mastercard,recycling:drugs,amenity_1,building:usage:pl,description,payment:maestro,3dr:type,brand:wikidata,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:simc,atm,source:geometry,payment:visa_electron,addr:city,source:building,payment:visa_debit,source_ref,drive_through,lon,contact:website,roof:colour,height,operator,name:pl,brand:wikipedia,area,opening_hours,contact:phone,addr:housename,building.source:levels,start_date,website,brand,addr:subdistrict,phone,smoking,emuia:id,room,buildingpart,dispensing,landuse,roof:levels,amenity,source:opening_hours,payment:notes,building:use:pl,source:amenity,addr:district,building:levels,note,ref:source,source:addr,building:material,source_ref:name,payment:visa,lat,payment:telephone_cards,building,building:colour,payment:coins,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country
,,,,,10,,,,,,Janusza Korczaka,,,Apteka Rodzinna,,,86-300,,,,,,,,,,,,,,,,,,,,,,,,,Grudziądz,,,,,18.7315205,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.4624725,,yes,,,,,,,,
,,,,,92a,,,,,,Lubichowska,,,Apteka Rodzinna,,,83-200,,,,,,,,,,,,,,,,,,,,,,,webewid.powiatstarogard.pl,,Starogard Gdański,,,,,18.5174807,,,,,,,,Mo-Fr 08:00-18:00; Sa 09:00 - 13:00; Su off,,,,,,,,58 562 87 28,,,,,yes,,,pharmacy,,,,,,,,,"SIP Staarogardu Gdańskiego, stg.procad.pl",,,,53.9551682,,yes,,,,yes,,,,
,,,,,8A,,,,,,Parkowa,,,Apteka Różana,,,38-100,,,,,,,,,,,,,,,,,,,,,,,,,Strzyżów,,,,,21.7898276,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,49.8696287,,yes,,,,,,,,
,,,,,4,,,geoportal.gov.pl:ortofoto,,,Książęca,,,Apteka Różana,,,61-361,,,,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,,16.9306583,,,,,,,,Mo-Fr 08:00-20:00; Sa 09:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,1,,,EMUiA (emuia.gugik.gov.pl),,,,52.3666232,,yes,,,,,,,,
,,,,,8A,,,,,,Samarytanka,,,Apteka Samarytanka,,,03-592,,,,,,,,,,,,,19451,,,,,,,,0918123,,,,Warszawa,,,,,21.0552413,,,,,,,,Mo-Fr 08:00-20:00; Sa 09:00-14:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,mapa.um.warszawa.pl,,,,52.2795173,,yes,,,,,,,,
,,,,,38,,,,,,3 Maja,,,Apteka Sokrates,,,07-300,,,,,,,,,,,,,,,,,,,,,,,,,Ostrów Mazowiecka,,,,,21.8962877,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (mostrowmazowiecka.e-mapa.net),,,,52.8048576,,yes,,,,,,,,
,commercial,,,,,,,,,,,,,Apteka Starogardzka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5288835,,,,,,,,Mo-Fr 08:00-17:30; Sa 09:00 - 13:00; Su off,,,,,,,,58 562 58 74,,,,,yes,,,pharmacy,,,,,,1,,,,,,,53.9746121,,,,,,yes,,,,
,,,,,14,,,,,,Niepodległości,,,Apteka Staromiejska S.C.,,,14-200,,,,,,,,,,,,,,,,,,,,,,,,,Iława,,,,,19.5590139,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,,,+48 89 648 56 22,,,,,,,,pharmacy,,,,,,,,,,,,,53.5983224,,yes,,,,,,,,
,,,,,81g,,,,,,Marszałka Józefa Piłsudskiego,,,Apteka Supejednostka,,,42-400,,,,,,,,,,,,,,,,,,,,,,,,,Zawiercie,,,,,19.4334519,,,,,,,,,,,,,,,,+48 32 678 37 10,,,,,,,,pharmacy,,,,,,,,,,,,,50.4911342,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka Szpitalna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0701573,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,49.7641947,,yes,,,,,,,,
,,,,,7,,,,,,11 Listopada,,,Apteka Słoneczna,,,27-400,,,,,,,,,,,,,,,,,,,,,,,,,Ostrowiec Świętokrzyski,,,,,21.4089839,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,50.9473123,,commercial,,,,,,,,
,,,,,16,,,UM Cieszyn,,,Kolejowa,,,Apteka Słoneczna,,,43-400,,,,,,,,,,,,,,,,,,,,,,,,,Cieszyn,,,,,18.6406465,,,,,,,,,,,,,,,,,,PKT_1510,,,yes,,,pharmacy,,,,,,,,,,,,,49.7482771,,yes,,,,,,,,
,,,,,2,,,,,,Kowaniec,,,Apteka Słoneczna,,,34-400,,,,,,,,,,,,,,,,,,,,,,,,,Nowy Targ,,,,,20.0342415,,,,,,,,,,,,,apteka-sloneczna.pl,,,+48 513 905 331,,,,,,,,pharmacy,,,,,,,,,,,,,49.4858903,,yes,,,,,,,,
,,,,,21a,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,Słowiańska,,,Apteka Słowiańska,,,48-300,,,,,,,,,,,,,,,,,,,,,,,,,Nysa,,,,,17.3324717,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,http://www.rejestrymedyczne.csioz.gov.pl/rejestr-aptek,,1,,,,,,,50.4833451,,retail,,,,,,,,
,,,,,5,,,WroclawGIS,,,Nowa,,,Apteka Tyniecka,,,55-040,,,,,,,,,,,,,14330,,,,,,,,0875610,,geoportal.gov.pl:BDOT,,Tyniec Mały,,,,,16.9247107,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.0220315,,house,,,,limited,,,,
,yes,,,,11,,,,,,Zygmunta Krasińskiego,,,Apteka Vanilia,,,58-130,,,,,,,,,,,,,,,,,,,,,,,,,Żarów,,,,,16.4967548,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.9434670,,,,,,yes,,,,PL
,,,,,866,,,,,,,,,Apteka Viola,,,36-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0362186,,,,,,,,Mon-Fr 8:00-18:00; Sa 9:00-13:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.0781006,,yes,,,,,Trzebownisko,,,
,,,,,,,,,,,,,,Apteka W Rynku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1466582,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.2943382,,yes,,,,,,,pharmacy,
,,,,,10,,,,,,3 Maja,,,Apteka Z Misiem,,,66-620,,,,,,,,,,,,,11937,,,,,,,,0988394,,,,Gubin,,,,,14.7275842,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,mgubin.e-mapa.net,,,,51.9527809,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka ZDROWIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8617625,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.4461219,,,,,,,,,,
,,,,,2/4,,,,,,Widok,,,Apteka Zdrojowa,,,05-300,,,,,,,,,,,,,,,,,,,,,0682011,,,,Mińsk Mazowiecki,,,,,21.5498133,,,,,,,,Mo-Fr 8:00-20:00; Sa 8:00-16:00; Su 9:00-15:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.1738184,,terrace,,,,,,,,
,,,,,1F,,,,,,Osiedle Na Stoku,,,Apteka Zdrowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,,20.0559853,,,,Apteka Zdrowie,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,http://www.apteka-zdrowie.eu/,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.0943152,,yes,,,,,,,,
,,,,,98,,,,,,,,,Apteka Zdrowie,,,63-600,,,,,,,,,,,,,,,,,,,,,0199800,,,,,,,,,18.0241849,,,,,,,,Mo-Fr 09:00-20:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,kepno.e-mapa.net,,,,51.3254616,,yes,,,,,Myjomice,,,
,,,,,18,,,UM Opole,,,Stefana Grota-Roweckiego,,,Apteka Zdrowit,,,45-268,,,,,yes,,,handlowo-usługowy,,yes,,,,,,,,,,,,,,yes,Opole,,yes,,,17.9449929,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,yes,,,,1,,,,,,yes,50.6804803,,retail,,yes,,yes,,,,
,,,,,86A,,,,,,,,,Apteka Zioła,,,98-324,,,,,,,,,,,,,,,,,,,,,,,,,Mierzyce,,,,,18.6881541,,,,,,,,,,,,,,,,,,,,,no,,,pharmacy,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,,51.1588808,,yes,,,,,Mierzyce,,,
,,,,,37,,,,,,Ignacego Paderewskiego,,,Apteka aloes,,,86-010,,,,,,,,,,,,,,,,,,,,,0929285,,,,Koronowo,,,,,17.9399493,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,53.3102699,,yes,,,,yes,,,,
,,,,,,,,"survey, Bing",,,Gliwicka,,,Apteka i Laboratorium Państwowego Szpitala dla Nerwowo i Psychicznie Chorych w Rybniku,,,44-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5462392,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.1053678,,,,,,,,,,
,,,,,29,,,,,,Rynek,,,Apteka im. Powstańców Wielkopolskich,,,64-310,,,,,,,,,,,,,,,,,,,,,0971028,,,,Lwówek,,,,,16.1793543,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,lwowek.e-mapa.net,,,,52.4490722,,yes,,,,,,,pharmacy,
,,,,,14,,,,,,Wilczycka,,,Apteka kiełczowska,,,55-093,,,,,,,,,,,,,,,,,,,,,,,,,Kiełczów,,,,,17.1773866,,,,,,,,Mo-Fr 08:00-18:30; Sa 09:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.1370828,,yes,,,,,,,,PL
,,,,,,,,,,,,,,Apteka na Mącznej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6441534,,,,,,,,,,,,,,,,+48 516 368 572,,,,,,,,pharmacy,,,,,,1,,,,,,,53.3700867,,retail,,,,,,,,
,,,,,,,,,,,,,,Apteka na Targu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8871277,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.3549603,,yes,,,,,,,pharmacy,
,,,,,19,,,,,,Plac Wolności,,,Apteka pod Koziorożcem,,,62-740,,,,,,,,,,,,,,,,,,,,,,,,,Tuliszków,,,,,18.2986792,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.0768967,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka pod Lwem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7167280,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,53.1527671,,yes,,,,,,,,
,yes,,,,56,,,,,,Armii Krajowej,,,Apteka pod Sokołem,,,58-130,,,,,,,,,,,,,,,,,,,,,,,,,Żarów,,,,,16.4933644,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.9426988,,,,,,yes,,,,PL
,,,,,4,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,Powstańców Śląskich,,,Apteka pod Złotym Wężem,,,48-200,,,,,,,,,,,,,,,,,,,,,,,,,Prudnik,,,,,17.5892095,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.3246280,,yes,,,,,,,pharmacy,
,,,,,138,,,,,,Grunwaldzka,,,Apteka pod lwem,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,17.9633955,,,,,,,,Mo-Fr 07:00-21:00; Sa 08:00-14:00,,,,,http://www.aptekapodlwem.com/,,,52 525 65 35,,,,,,,,pharmacy,,,,,,,,,,,,,53.1363599,,yes,,,,yes,,,pharmacy,
,,,,,22C,,,,,,Wasilkowska,,,Apteka przy Topolance,,,,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,,23.1819549,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.1453982,,yes,,,,,,,,PL
,,,,,1a,,,,,,Osiedle Akacjowe,,,Apteka przy fontannie,,,72-112,,,,,,,,,,,,,,,,,,,,,,,,,Stepnica,,,,,14.6293659,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.6533576,,yes,,,,,,,,
,,,,,5,,,,,,Kotkowiaka,,,Apteka Św. Jadwigi,,0,63-860,,,,,,,,,,,,,,,,,,,,,,,,,Pogorzela,,,,,17.2309781,,,,,,,,Mo-Fr 08:00-16:00; Sa 08:00-12:00,,,,,,,,,,,,,,,,pharmacy,survey,,,,,2,,,pogorzela.e-mapa.net,,,,51.8234492,,yes,,,,,,,,
,,,,,4,,,Bing,,,Zwycięstwa,,,Apteka Św. Stanisława,,,43-178,,,,,,,,,,,,,,,,,,,,,,,,,Ornontowice,,,,,18.7645326,,,,,,,,"Mo-Fr 07:30-19:30; Sa 08:00-14:00; Su,PH off",,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA,,,,50.1807738,,yes,,,,,,,,
,,,,,25,,,,,,Stefana Żeromskiego,,,Apteka Świebodzicka,,,58-160,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",,Świebodzice,,,,,16.3218719,,,,,,,,"Mo-Fr 07:30-20:30; Sa,Su 08:00-20:00",,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.8599001,,apartments,,,,,,,,PL
,,,,,26,,,http://www.nowotarski.pl/opieka-spoleczna/dokumenty/wykaz-aptek-581.html,,,,,,Apteka Świętej Teresy,,,34-745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,19.8208335,,,,,,,,,,,,,,,,18 268 80 37,,,,,,,,pharmacy,,,,,,,,,,,,,49.5766900,,yes,,,,,Spytkowice,,,
,,,,,,,,,,,,,,Apteka św. Franciszka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4795341,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.7868904,,yes,,,,,,,,
,,,,,15,,,,,,Księdza Anastazego Pankiewicza,,,Apteka św. Franciszka,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,19.4799341,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,,51.7868928,,yes,,,,,,,,
,,,,,2,,,,,,Świętego Marcina,,,Apteka św. Marcina,,,59-400,,,,,,,,,,,,,12284,,,,,,,,,,,,Jawor,,,,,16.1942247,,,,,,,,Mo-Fr 08:00-19:00; Sa 09:00-14:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.0515892,,yes,,,,,,,,
,,,,,8,,,,,,Jutrzenki,,,Apteka św. Mikołaja,,,43-300,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,19.0623030,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,49.8103372,,yes,,,,,,,,
,,,,,25c,,,,,,Marii Skłodowskiej-Curie,,,Apteka „Mandragora”,,,14-200,,,,,,,,,,,,,20068,,,,,,,,0964650,,,,Iława,,,,,19.5620124,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,+48 89 6492404,,,,,,,,pharmacy,,,,,,,,,milawa.e-mapa.net,,,,53.5833618,,yes,,,,,,,,
,,,,,11,,,extrapolation,,,Wolności,,,Arnika,,,68-343,,,,,,,,,,,,,,,,,,,,,0908030,,,,Brody,,,,,14.7736369,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,brodyzarskie.e-mapa.net,,,,51.7849668,,residential,,,,,,,pharmacy,
,,,,,44,,,,,,Juliusza Słowackiego,,,Arnika,,,26-110,,,,,,,,,,,,,,,,,,,,,,,,,Skarżysko-Kamienna,,,,,20.8663378,,,,,,,,Mo-Sa 07:30-20:30 ; Su 08:30-15:00,,,,,,,,+48 41 2521473,,,,,,,,pharmacy,,,,,,,,,,,,,51.1118181,,yes,,,,,,,,
,,,,,,,,,,,,,,Astra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4677229,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.7759384,,yes,,,,,,,,
,,,,,1a,,,"UM Rzeszów, wms.erzeszow.pl",,,Graniczna,,,Astra,,,35-326,,,,,,,,,,,,,,,,,,,,,,,,,Rzeszów,,,,,22.0078722,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.0157542,,retail,,,,,,,,
,,,,,18,,,,,,Mała,,,Avena,,,,,,,,,,,,,,,,,,,,,,,,,,,,Płock,,,,,19.6708097,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,52.5539252,,yes,,,,,,,pharmacy,
,,,,,63,,,mapa.lodz.pl,,,Zgierska,,,Bałucka,,,91-463,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,19.4492961,,,,,,,,,,,,,,,,+48422554770,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,,51.7910041,,yes,,,,,,,,PL
supermarket,,,,,5,,,,,,Tworkowska,,,Biedronka,,,47-450,,,,,,,,,,,,,,,,,,,,,,,,,Krzyżanowice,,,,,18.2664603,,,,Jeronimo Martins Polska S.A.,,,,Mo-Sa 07:00-21:00,,,,,,,,+48324194405,,,,,,,,pharmacy,,,,,,,,,,,,,49.9845468,,retail,,,,,,,,PL
,,,,,1B,,,,,,Kleszczelowska,,,Bliska,,,17-100,,,,,,,,,,,,,08523,,,,,,,,0922685,,,,Bielsk Podlaski,,,,,23.2018607,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,52.7599809,,yes,,,,,,,,
,,,,,18,,,image,,,26 Marca,,,Blisko Ciebie,,,44-300,,,,,,,,,,,,,,,,,,,,,,,,,Wodzisław Śląski,,,,,18.4695753,,,,,,,,Mo-Su 08:00-21:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.0053093,,yes,,,,yes,,,,PL
,,,,,2,,,,,,Leopolda Staffa,,,Blumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,,20.9612375,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.2738675,,retail,,,,,,,pharmacy,
,,,,,,,,,,,,,,Cefarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8815375,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.9923147,,yes,,,,,,,,
,,,,,1,,,gis.um.szczecin.pl,,,Joachima Lelewela,,,Cefarm,,,,,,,,,,,Handlowo-usługowy,,,,,,,,,,,,,,,,,Szczecin,,,,,14.5024900,,,,"Apteka cef@rm 36,6",,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,2,,,,,,,53.4425416,,retail,,,,,,,,PL
,,,,,50,,,,,,Spółdzielców,,,Centauria,,,43-300,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,19.0050187,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,49.8157416,,retail,,,,,,,,
,,,,,11A,,,,,,Romualda Traugutta,,,Centauria,,,95-060,,,,,,,,,,,,,,,,,,,,,,,,,Brzeziny,,,,,19.7531098,,,,,,,,,,,,,,,,+48468743503,,,,,,,,pharmacy,,,,,,,,,,,,,51.8013107,,yes,,,,,,,,
,,,,,61a,,,,,,Henryka Wieniawskiego,,,Centrum,,,31-436,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,,19.9694664,,,,,,,,Mo-Fr 7:00-22:00;Sa 8:00-22:00;Su 9:00-20:00,,,,,,,Olsza II,,,,,,,,,pharmacy,,,,,Prądnik Czerwony,,,,,,,,50.0798088,,yes,,,,,,,pharmacy,PL
,,,,,15,,,,,,Dworcowa,,,Centrum,,,62-510,,,,,,,,,,,,,,,,,,,,,,,,,Konin,,,,,18.2500416,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.2291623,,yes,,,,,,,,
,,,,,,,,,,,,,,Centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5848791,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.1093275,,,,,,,,,pharmacy,
,,,,,21,,,,,,Aleja Marszałka Józefa Piłsudskiego,,,Centrum,,,26-110,,,,,,,,,,,,,,,,,,,,,,,,,Skarżysko-Kamienna,,,,,20.8567228,,,,,,,,Mo-Fr 08:00-20:30; Sa 08:00-15:30; Su off,,,,,,,,+48 412528036,,,,,,,,pharmacy,,,,,,,,,,,,,51.1176735,,yes,,,,,,,,
,,,,,,,,Bing,,,,,,Centrum Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0196247,,,,,,,,Mo-Fr 07:30-20:00; Sa 08:00-16:00; Su off,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.3017625,,yes,,,,,,,,
,,,,,341,,,local knowledge,,,Kolumny,,,Clinic NZOZ Medical,NZOZ,,93-647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5537649,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.7131665,,,,,,,,,,
,,room,,,,,,photograph,,,,,,Cosmedica,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zapodaj.net/903cec5ec77d2.jpg.html,,18.2612461,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,https://zapodaj.net/b6fc42316821d.jpg.html,,52.2383819,,,,,,,,,,
,,,,,1,,,Bing,,,Klubowa,,,"Czapska-Klekot Barbara, mgr farm. Apteka",,,66-210,,,,,,,,,,,,,,,,,,,,,,,,,Zbąszynek,,,,,15.8172330,,,,,,,,Mo-Fr 08:00-17:00; Sa 8:00-13:00,,,,,,,,+48 68 384 94 47,,,,,,,,pharmacy,,,,,,,,,,,,,52.2444978,,yes,,,,,,,,
,,,,,2,,,,,,Mokra,,,DOZ Apteka,,,97-510,,,,,,,,,,,,,13211,,,,,,,,0549884,,,,Ręczno,,,,,19.8517156,,,,,,,,Mo-Fr 08:00-17:00; Sa 08:00-15:00,,,,,https://www.doz.pl/apteki/a142654-DOZ_Apteka._Dbam_o_Zdrowie,,,44 7318026,,,,,yes,,,pharmacy,,,,,,,,,reczno.e-mapa.net,,,,51.1906327,,yes,,,,,,,,
,,,,,3A,,,,,,Gdyńska,,,DOZ Apteka,,,80-340,,,,,,yes,recycling,,,,,,,,,,,,,,,,,,Gdańsk,,,,no,18.5774846,,,,DOZ.pl Sp. z o.o.,,,,Mo-Fr 08:00-19:00; Sa 09:00-14:00,,,,,https://www.doz.pl/apteki/a82126-DOZ_Apteka_Dbam_o_Zdrowie,,,+48 736 698 007,,,,,yes,,,pharmacy,,,,,,2,,,Urząd Miasta Gdańsk,,,,54.4208683,,retail,,,,,,,,PL
,,,,,,,,,,,Kożuchowska,,,DOZ Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5079763,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.9271024,,yes,,,,,,,pharmacy,
,,,,,86,,,UM Zabrze,,,Doktora Henryka Jordana,,,DOZ Apteka Dbam o Zdrowie,,,41-813,tar_paper,,,,,,,Handlowo-usługowy,,,,,,,,,,,flat,,,,,,Zabrze,,,,,18.8102296,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,1,,,,,,,50.3793700,,yes,,,,,,,pharmacy,
,,,,,275,,,,,,,,,Danfarm Punkt Apteczny,,,36-207,,,,,,,,,,,,,,,,,,Podkarpackie,,,,,,,,,,,,22.0781614,,,,Danfarm,,,,,,,,,,,Brzozów,,,,,,,,,pharmacy,,,,,Brzozowski,,,,,,,,49.6578997,,retail,,,,,Grabownica Starzeńska,,,PL
,,,,,10,,,,,,Rzemieślnicza,,,Dbam o Zdrowie,,,56-400,,,,,,,,,,,,Q62563833,,,apt60369@dbamozdrowie.pl,,,,,,,,"geoportal.gov.pl, GPS",,Oleśnica,,,,,17.3781575,,,,Dbam o Zdrowie,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,,,https://www.doz.pl/,Dbam o Zdrowie,,713984904,,,,,,,,pharmacy,,,,,,,,,molesnica.e-mapa.net,,,,51.2120548,,yes,,,,,,,pharmacy,PL
,,,,,,,,gis.um.szczecin.pl,,,,,,Dbam o Zdrowie,,,,,,,,,,,Handlowo-usługowy,,,,,,,,,,,hipped,,,,,,,,,,,14.5049558,,red,,,,,,"Mo-Fr 08:00-18:00, Su 09:00-15:00",,,,,https://www.doz.pl/,,,+4891 489 96 40,,,,,yes,,1,pharmacy,,,,,,1,,,,,,,53.4497323,,retail,,,,,,,pharmacy,
,,,,,20,,,,,,Profesora Mieczysława Michałowicza,,,Dbam o Zdrowie,,,43-300,,,,,,,,,,,,,,,apt86529@dbamozdrowie.pl,,,,,,,,,,Bielsko-Biała,,,,,19.0351686,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-14:00,,,,,https://www.doz.pl/apteki/a86529-DOZ_Apteka_Dbam_o_Zdrowie,,,+48338211135,,,,,,,,pharmacy,,,,,,,,,,,,,49.8139939,,yes,,,,,,,,
,,,,,123,,,Urząd Miasta Elbląg,,,Królewiecka,,,Dbam o Zdrowie,,,82-300,,,,,,,,,,,,,,,,,,,,,,,,,Elbląg,,,,,19.4100371,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,54.1699411,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Dbam o Zdrowie,,,,,,,,,,,,,,,,,,apt63332@dbamozdrowie.pl,,,,,,,,,,,,,,,19.3213981,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-13:00,,,,,,,,+48 42 2111036,,,,,,,,pharmacy,,,,,,,,,,,,,51.7506362,,retail,,,,,,,,
,,room,,,,,,,,,,,,Dbam o Zdrowie,,0,,,,,,,,,,,,,Q62563833,,H02,,,,,,,,,,,,,,,,21.0026455,,,,,,,,Mo-Su 07:00-23:00,,,,,,Dbam o Zdrowie,,,,,shop,,yes,,,pharmacy,,,,,,,,,,,,,52.2285147,,,,,,,,,pharmacy,
,,,,,,,,,,,,,,Dbam o Zdrowie,,,,,,,,,,,,,,,,,,apt63026@dbamozdrowie.pl,,,,,,,,,,,,,,,19.2097462,,,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-15:00,,,,,https://www.doz.pl/apteki/a63026-Apteka_Dbam_o_Zdrowie,,,+4843677518,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.7528384,,yes,,,,,,,,
