health_facility:type,shop,office,healthcare:speciality,building:part,photo,description:de,addr:housenumber_1,health_specialty:occupational_therapy,note:de,health_specialty:ophthalmology,unimainz:buildingId,guest_house,contact:yelp,headframe:speciality,building:type,addr:housenumber,toilets,user_defined_other,man_made,seamark:type,opening_hours:note,TODO,created_by,healthcare:speciality:TCM,addr:state,name:de,source,payment:girocard,opening_hours:url,image,bdouble,fax,survey:date,emergency,building:roof,contact:facebook,historic,check_date:opening_hours,building:roof:material,tourism,wikimedia_commons,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,ref:bldam,lastcheck,roof:orientation,name:1,source:outline,health_specialty:psychosomatic_medicine,elevator,health_specialty:psychiatry,amenity_1,designation,roof:height,operator,name:it,parking,loc_name,phone_1,est_height,lon,seamark:building:function,wikipedia,asb,access,health_specialty:gastroenterology,check_date,language:en,is_in,ref,email,building:height,contact:email,addr:source,roof:shape,doctors,building:use,healthcare:speciality:alternative,healthcare:speciality_1,min_level,name:hsb,health_specialty:general,addr:inclusion,country,atm,source:geometry,addr:city,source:building,language:de,disused:building,name:3,health_person:type,toilets:wheelchair,internet_access,health_specialty:diagnostic_radiology,telecom,ref:witten,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,healthcare:counselling,ele,short_name,area,opening_hours,contact:phone,addr:housename,heritage:website,indoor,contact:mobile,health_specialty:chiropractic,heritage,emergency_service,roof:ridge:direction,start_date,website,addr:hamlet,phone,official_name,changing_table,old_name,smoking,heritage:ref,opening_hours:signed,max_level,room,type,health_specialty:sports_medicine,healthcare:speciality:de,health_speciality:physiotherapy,wheelchair:description:de,buildingpart,architect,healthcare:for,dispensing,wikipedia:de,contact:phone_1,source:addr,wheelchair,amenity,speciality,operator:type,addr:place,name:2,building:flats,addr:suburb,generator:source,building:min_level,short_name:de,wikidata,addr:street_1,specialization,addr:district,doctor,building:levels,language:ar,health_facility,note,kvl_hro:type,specialisation,branch,doctors:de,FIXME,disused:amenity,description,healthcare:speciality:acupuncture,building:material,year_of_construction,health_specialty:family_medicine,kvl_hro:amenity,health_specialty:orthopaedics,building:architecture,lat,capacity,fax:2,medical_system:western,building,building:colour,url,roof:levels,floor,health_specialty:gynaecology,building:levels:underground,healthcare,onkz,addr:country,heritage:operator
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Schlehenstraße,,,,,Forum Gesundheit Dresden,,,01169,,,,,,,,,,,,,,,,,,,13.6590863,,,,,,,,,,,,,,flat,,,,,,,,,,,,Dresden,,,,,,,,,,,,#989376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,2,,,,,,,,,,,,plaster,,,,,,51.0487243,,,,yes,#DDDEE0,,,,,,,,DE,
,,,general,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,Eichenallee,,,,,Fr. Dreier,,,21521,,,,,,,,,,,,,,,,,,,10.2854934,,,,,,,,,,,,,,,,,,,,,,,,,,Wohltorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5185684,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,13/1,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,Hauptstraße,,,,,Franz-Josef Müller (Allgemeinmedizin),,,73102,,,,,,,,,,,,,,,,,,,9.6613665,,,,,,,,,,,,,,,,,,,,,,,,,,Birenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7471756,,,,yes,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Doktor-Jakob-Wittemann-Straße,,,,,Frau Annette Maikranz-Roder,,,,,,,,,,,,,,,,,,,,,,8.3315675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1688466,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,August-Bebel-Straße,,,,,Frau Dipl.-Med. Cornelia Georgi,,,08491,,,,,,,,,,,,,,,,,,,12.2557918,,,,,,,,,,,,,,,,,,,,,,,,,,Limbach,,,,,,no,,,,,,,,,,,,,,,"Tu 14:00-18:00, Th 07:00-12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5856806,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,Holzstraße,,,,,Frau Dipl.-Med. Maria Mlocek,,,99996,,,,,,,,,,,,,Frau Dipl.-Med. Maria Mlocek,,,,,,10.5568131,,,,,,,,,,,,,,,,,,,,,,,,,,Menteroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3069750,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frau Dr. (CS) Elena Lenart-Narh,,,,,,,,,,,,,,,,,,,,,,7.4612530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5500456,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Schulstraße,,,,,Frau Dr. Gudrun Hage,,,06632,,,,,,,,,,,,,,,,,,,11.7210146,,,,,,,,,,,,,,,,,,,,,,,,,,Gleina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2574141,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,15a,,,,,,,,,,,,,,,,,,,,,,,,,,Hubertusstraße,,,,,Frau Dr. med. Anne-Katrin Ladwig,,,77656,,,,,,,,,,,,,,,,,,,7.9216890,,,,,,,,,,,,,,,,,,,,,,,,,,Offenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Weier,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4985393,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,Klosterstraße,,,,,Frau Dr. med. Barbara Trautvetter Internistin,,,06567,,,,,,,,,,,,,,,,,,,11.0989142,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Frankenhausen/Kyffhäuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3558614,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frau Dr. med. Friedland Klatt,,,,,,,,,,,,,,,,,,,,,,10.6128277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,51.5840323,,,,yes,,,,,,,,,,
,,,gynaecology,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Johann-Sebastian-Bach-Straße,,,,,Frauenarzt,,,89264,,,,,,,,,,,,,,,,,,,10.1698420,,,,,,,,,,,,,,,,,,,,,,,,,,Weißenhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3030333,,,,yes,,,,,,,doctor,,DE,
,,,gynaecology,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Alicenstraße,,,,,Frauenarzt-Zentrum,,,35390,,,,,,,,,,,,,,,,,,,8.6673210,,,,,,,,,,,,,,,,,,,,,,,,,,Gießen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5818203,,,,yes,,,,,,,centre,,DE,
,,,gynaecology,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Alicenstraße,,,,,Frauenarzt-Zentrum,,,35390,,,,,,,,,,,,,,,,,,,8.6671890,,,,,,,,,,,,,,,,,,,,,,,,,,Gießen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5818890,,,,yes,,,,,,,doctor,,DE,
,,,gynaecology;maternity,,,,,,,,,,,,,31A,,,,,,,,,,,GIS,,,,,+49 571 34518,,,,,,,,,,Steinkreuzstraße,,,,,Frauenarztpraxis Dankersen,,,32423,,,,,,,,,,,,,Ulrike Schmid u. Kolleginnen,,,,,,8.9541077,,,,,,,,,,praxis@frauenarztpraxis-dankersen.de,,,,,,,,,,,,,,,,Minden,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-12:00, Mo,Tu,We,Th 15:00-17:00",,,,,,,,,,,https://www.frauenarztpraxis-dankersen.de,,+49 571 33733,,,,,,,,,,,,,,,,,,,,,,doctors,,private,,,,,,,,,,,,,,,,,,,,,,,Praxis für Frauenheilkunde und Geburtshilfe,,,,,,,,52.2877139,,,,house,,,,,,,doctor,,DE,
,,,gynaecology,,,,,,,,,,,,,4b,,,,,,,,,,,,,,,,+493831 29298 1,,,,,,,,,,Jungfernstieg,,,,,Frauenarztpraxis Dr. Christine Sporkmann,,,18437,,,,,,,,,,,,,,,,,,,13.0786439,,,,,,,,,,sporkmannhst@aol.com,,,,,,,,,,,,,,,,Stralsund,,,,,,,,,,,,,,,,,,,,,Mo-Th 07:30-18:00; Fr 07:30-13:30,,,,,,,,,,,http://www.praxis-sporkmann.de,,+493831 29298 0,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3117819,,,,yes,,,,,,,doctor,,DE,
,,,gynaecology,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Vor dem Brücktor,,,,,Frauenarztpraxis Gabi Reis,,,23730,,,,,,,,,,,,,,,,,,,10.8085896,,,,,,,,,,,,,,,,,,,,,,,,,,Neustadt in Holstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1061634,,,,yes,,,,,,,doctor,,,
,,,gynaecology,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,Marktplatz,,,,+49218174809,Frauenarztpraxis Martina Kaiser,,,41516,,,,,,,,,,,,,Martina Kaiser,,,,,,6.6232614,,,,,,,,,,,,,,,,,,,,,,,,,,Grevenbroich,,,,,,,,,,,http://www.frauenarztpraxis-kaiser.de/,,,,,,,,,,"Mo,Tu 08:30-12:00,14:30-17:00; We,Fr 08:30-12:00; Th 08:30-12:00,14:30-18:00; PH off",+4921817711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1073110,,,,yes,,,,,,,,,DE,
,,,gynaecology,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,Rosa-Luxemburg-Straße,,,,,Frauenarztpraxis Sarah Kullmann,,,06917,,,,,,,,,,,,,,,,,,,12.9677451,,,,,,,,,,,,,,,,,,,,,,,,,,Jessen (Elster),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7946479,,,,commercial,,,,,,,doctor,,,
,,,gynaecology,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,Gartenstraße,,,,+49 37365 17262,Frauenarztpraxis Sayda,,,09619,,,,,,,,,,,,,Dr. med. Silvia Kopra,,,,,,13.4285328,,,,,,,,,,,,,,,,,,,,,,,,,,Sayda,,,,,,yes,,,,,https://www.frauenaerzte-im-netz.de/aerzte/sayda/kopra/startseite.html,,,,,,,,,,"Mo 07:30-11:00; Tu 07:30-11:00, 13:30-17:30; We,Fr 07:30-11:30; Th 07:30-09:00, 13:30-17:30",+49 37365 1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7097441,,,,yes,,,,,,,doctor,,DE,
,,,gynaecology,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,+49 6154 698825,,,,,,,,,,Wiesenweg,,,,,Frauenarztpraxis Zima,,,64380,,,,,,,,,,,,,Daria Zima,,,,,,8.7637408,,,,,,,,,,,,,,,,,,,,,,,,,,Roßdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.frauenaerztin-zima.de/,,+49 6154 69880,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8589781,,,,yes,,,,,,,doctor,,,
,,,gynaecology,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,Krayer Straße,,,,,Frauenärzte Kray,,,45307,,,,,,,,,,,,,,,,,,,7.0793170,,,,,,,,,,,,,,,,,,,,,,,,,,Essen,,,,,,,,,,,,,,,,,,,,,,,Frauenärzte Kray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4643351,,,,yes,,,,,,,doctor,,,
,,,gynaecology,,,,,,,,,,,,,24A,,,,,,,,,,,,,,,,,,,,,,,,,,Hagener Straße,,,,,Frauenärztin Dr. Becke,,,31535,,,,,,,,,,,,,,,,,,,9.4306521,,,,,,,,,,,,,,,,,,,,,,,,,,Neustadt am Rübenberge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5764686,,,,yes,,,,,,,doctor,,DE,
,,,gynaecology,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,Marktstraße,,,,,Frauenärztin Dr. Kärcher,,,71364,,,,,,,,,,,,,,,,,,,9.3970855,,,,,,,,,,,,,,,,,,,,,,,,,,Winnenden,,,,,,,,,,,,,,,,,,,,,"Mo,Tu 08:00-12:00,14:00-18:00; We,Fr 08:00-13:00; Th 08:00-13:00",,,,,,,,,,,https://www.gyn-kaercher.de/,,+49 7195 2990,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8766085,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,2 A,,,,,,,,,,,,,,,,,,,,,,,,,,An der Innerste,,,,,Friederike Prinzing,,,38271,,,,,,,,,,,,,,,,,,,10.2319673,,,,,,,,,,,,,,,,,,,,,,,,,,Baddeckenstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Baddeckenstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0876556,,,,residential,,,,,,,,,DE,
office,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,Auf der Hörn,,,,+49 241 81850,Fritz König,,,52074,,,,,,,,,,,,,,,,,,,6.0609292,,,,,,,,,,,,,,,,,,,,,,,,,,Aachen,,,,,,,,,,,,,,,,,,,,,"Mo 08:00-11:00, 16:00-18:00; Tu 17:00-20:00; We 08:00-11:00; Th 16:00-18:00; Fr 08:00-11:00",+49 241 81080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,50.7809888,,,yes,house,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fritz Sautmann,,,,,,,,,,,,,,,,,,,,,,8.7690900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4010978,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,Hoppenstiege,,,,,Füchtemann Dr. med. Hans,,,48356,,,,,,,,,,,,,,,,,,,7.4792857,,,,,,,,,,,,,,,,,,,,,,,,,,Nordwalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0854158,,,,yes,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,"134a, 134b",,,,,,,,,,,,,,,,,,,,,,,,,,Hornsche Straße,,,,,Gabriela Mielchen,,,32760,,,,,,,,,,,,,,,,,,,8.8999328,,,,,,,,,,,,,,,,,,,,,,,,,,Detmold,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9216768,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,Ludwigstraße,,,,,Gaitzsch Ulrich Arzt für Allgemeinmedizin,,,95632,,,,,,,,,,,,,,,,,,,12.0015289,,,,,,,,,,,,,,,,,,,,,,,,,,Wunsiedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0370260,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regelsbacher Straße,,,,,Galenus Gesundheitszentrum Schwabach,,,91126,,,,,,,,,,,,,,,,,,,11.0117449,,,,,,,,,,,,,,,,,,,,,,,,,,Schwabach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3329066,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gebäude 16,,,,,,,,,,,,,,,,,,,,,,8.6482181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""je nach Arzt verschieden""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,Fachärztezentrum,,,,,,,,49.8738619,,,,hospital,,,,,,,,,,
,,,orthopaedics,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Gelenkchirurgie Zentrum Bogen,,,94327,,,,,,,,,,,,,,,,,,,12.6871127,,,,,,,,,,,,,,,,,,,,,,,,,,Bogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.gz-b.com,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9102646,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Kirchstraße,,,,,Gelinsky & Grünzig,,,32257,,,,,,,,,,,,,,,,,,,8.5214016,,,,,,,,,,,,,,,,,,,,,,,,,,Bünde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 5223 6715,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2012707,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,Reichenbachweg,,,,,Gemeinschaftpraxis,,,71729,,,,,,,,,,,,,,,,,,,9.2936530,,,,,,,,,,,,,,,,,,,,,,,,,,Erdmannhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9425731,,,,yes,,,,,,,,,,
,,,general,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,Wiedtalstraße,,,,,Gemeinschaftsparxis Dr.Thiers & Dr. Effert,,,53547,,,,,,,,,,,,,,,,,,,7.4147239,,,,,,,,,,,,,,,,,,,,,,,,,,Roßbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5760738,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,Oststraße,,,,,Gemeinschaftspaxis,,,31698,,,,,,,,,,,,,Ingolf Kunze;Ursula Reike; Johannes Well-Kunze,,,,,,9.2879649,,,,,,,,,,,,,,,,,,,,,,,,,,Lindhorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3563152,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemeinschaftspraxis,,,,,,,,,,,,,,,,,,,,,,12.5162222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7758002,,,,yes,,,,,,,,,,
,,,internal,,,,,,,,,,,,,32a,,,,,,,,,,,,,,,,,,,,,,,,,,Wilstedter Straße,,,,,Gemeinschaftspraxis,,,24558,,,,,,,,,,,,,,,,,,,9.9950808,,,,,,,,,,,,,,,,,,,,,,,,,,Henstedt-Ulzburg,,,,,,,,,,,,,,,,,,,,,,+49419379889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7533247,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Gemeinschaftspraxis,,,15344,,,,,,,,,,,,,,,,,,,13.8423630,,,,,,,,,,,,,,,,,,,,,,,,,,Strausberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5320979,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Faustinastraße,,,,,Gemeinschaftspraxis,,,76764,,,,,,,,,,,,,,,,,,,8.2767129,,,,,,,,,,,,,,,,,,,,,,,,,,Rheinzabern,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 7272 74072,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,Frau R. Walther-Eifler Herr R. Vorpahl Herr Dr. med. J. Bürstner,,,,,,,,,,,,,,,49.1158138,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,16a,,,,,,,,,,,,,,,,,,,,,,,,,,Dobbiner Chaussee,,,,,Gemeinschaftspraxis,,,18292,,,,,,,,,,,,,,,,,,,12.2719026,,,,,,,,,,,,,,,,,,,,,,,,,,Krakow am See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6491334,,,,yes,,,,,,,,,DE,
,,,general;internal;endocrinology;Internist;vaccination,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,+49 4331 88827,,,,,,,,,,Auredder,,,,,Gemeinschaftspraxis - Dr. med. Martin Detlef und Annette Watermann,,,24783,,,,,,,,,,,,,Dr. med. Martin Detlef und Annette Watermann,,,,,,9.6870881,,,,,,,,,,,,,,,,,,,,,,,,,,Osterrönfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 4331 88113,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2886574,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,Ittenhauser Straße,,,,,Gemeinschaftspraxis Ailingen,,,,,,,,,,,,,,,,,,,,,,9.4891123,,,,,,,,,,,,,,,,,,,,,,,,,,Friedrichshafen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6882295,,,,yes,,,,,,,,,,
,,,general,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,+49 2451 65623,,,,,,,,,,Martin-Heyden-Straße,,,,,"Gemeinschaftspraxis B.+R. Prinz, Owczarski",,,52511,,,,,,,,,,,,,,,,,,,6.1202673,,,,,,,,,,,,,,,,,,,,,,,,,,Geilenkirchen,,,,,,,,,,,,,,,,,,,,,Mo-Fr 08:00-12:00; Tu 16:30-18:00,,,,,,,,,,,,,+49 2451 67055,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,Fachärzte für Allgemeinmedizin,,,,,,,,50.9650094,,,,yes,,,,,,,doctor,,DE,
,,,paediatrics,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,+49 2452 910722,,,,,,,,,,Haagweiher,,,,,"Gemeinschaftspraxis Becker, Borchard",,,52525,,,,,,,,,,,,,,,,,,,6.1007109,,,,,,,,,,,,,,,,,,,,,,,,,,Heinsberg,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-12:00,15:00-18:00; We 08:00-12:00",,,,,,,,,,,,,+49 2452 91070,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,Fachärzte für Kinder- und Jugendmedizin,,,,,,,,51.0608356,,,,yes,,,,,,,doctor,,DE,
